,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
20,14,2019-01-02,14,Casaco Liso,2,255,510,Bourbon Shopping SP
126,99,2019-01-02,14,Sapato Xadrez,2,368,736,Bourbon Shopping SP
127,99,2019-01-02,14,Short Liso,5,108,540,Bourbon Shopping SP
128,99,2019-01-02,14,Cinto Listrado,4,214,856,Bourbon Shopping SP
143,110,2019-01-02,14,Polo Estampa,2,138,276,Bourbon Shopping SP
341,246,2019-01-03,14,Tênis Estampa,2,256,512,Bourbon Shopping SP
358,257,2019-01-03,14,Chinelo,3,60,180,Bourbon Shopping SP
359,257,2019-01-03,14,Pulseira Liso,5,87,435,Bourbon Shopping SP
360,257,2019-01-03,14,Casaco Xadrez,2,259,518,Bourbon Shopping SP
377,264,2019-01-03,14,Cueca Estampa,1,66,66,Bourbon Shopping SP
378,264,2019-01-03,14,Camiseta Xadrez,1,200,200,Bourbon Shopping SP
399,280,2019-01-03,14,Chinelo Liso,1,71,71,Bourbon Shopping SP
400,280,2019-01-03,14,Relógio Xadrez,1,214,214,Bourbon Shopping SP
401,281,2019-01-03,14,Camisa Gola V Xadrez,1,107,107,Bourbon Shopping SP
404,286,2019-01-03,14,Terno Linho,3,750,2250,Bourbon Shopping SP
405,286,2019-01-03,14,Camiseta Liso,2,187,374,Bourbon Shopping SP
406,286,2019-01-03,14,Bermuda Liso,1,157,157,Bourbon Shopping SP
414,293,2019-01-03,14,Camisa Linho,2,141,282,Bourbon Shopping SP
415,293,2019-01-03,14,Camiseta Liso,1,187,187,Bourbon Shopping SP
421,298,2019-01-03,14,Cueca Estampa,4,66,264,Bourbon Shopping SP
576,396,2019-01-04,14,Camisa Gola V,2,100,200,Bourbon Shopping SP
577,396,2019-01-04,14,Relógio Listrado,2,218,436,Bourbon Shopping SP
578,396,2019-01-04,14,Casaco,1,250,250,Bourbon Shopping SP
647,437,2019-01-04,14,Meia Listrado,1,37,37,Bourbon Shopping SP
685,462,2019-01-04,14,Tênis,1,250,250,Bourbon Shopping SP
729,491,2019-01-04,14,Short Linho,2,133,266,Bourbon Shopping SP
799,535,2019-01-04,14,Gorro Estampa,2,93,186,Bourbon Shopping SP
847,567,2019-01-04,14,Gorro Xadrez,1,85,85,Bourbon Shopping SP
893,597,2019-01-05,14,Pulseira Xadrez,1,87,87,Bourbon Shopping SP
894,597,2019-01-05,14,Cueca Xadrez,2,60,120,Bourbon Shopping SP
895,597,2019-01-05,14,Calça,1,170,170,Bourbon Shopping SP
896,597,2019-01-05,14,Relógio Estampa,1,219,219,Bourbon Shopping SP
934,626,2019-01-05,14,Cinto Liso,2,209,418,Bourbon Shopping SP
935,626,2019-01-05,14,Pulseira Linho,1,114,114,Bourbon Shopping SP
936,626,2019-01-05,14,Tênis Linho,3,294,882,Bourbon Shopping SP
962,644,2019-01-05,14,Sunga Xadrez,5,116,580,Bourbon Shopping SP
988,658,2019-01-05,14,Camiseta Liso,1,187,187,Bourbon Shopping SP
1022,684,2019-01-05,14,Sunga Liso,2,114,228,Bourbon Shopping SP
1028,689,2019-01-05,14,Cinto Linho,1,248,248,Bourbon Shopping SP
1029,689,2019-01-05,14,Gorro Xadrez,2,85,170,Bourbon Shopping SP
1030,689,2019-01-05,14,Camiseta Listrado,3,197,591,Bourbon Shopping SP
1031,689,2019-01-05,14,Cinto Estampa,1,209,209,Bourbon Shopping SP
1032,689,2019-01-05,14,Terno Xadrez,5,709,3545,Bourbon Shopping SP
1046,700,2019-01-05,14,Casaco Listrado,3,269,807,Bourbon Shopping SP
1047,700,2019-01-05,14,Short Liso,1,108,108,Bourbon Shopping SP
1048,700,2019-01-05,14,Sunga Listrado,4,114,456,Bourbon Shopping SP
1049,700,2019-01-05,14,Short Liso,5,108,540,Bourbon Shopping SP
1294,861,2019-01-06,14,Sapato Estampa,5,358,1790,Bourbon Shopping SP
1295,861,2019-01-06,14,Tênis Xadrez,2,259,518,Bourbon Shopping SP
1296,861,2019-01-06,14,Camiseta Linho,1,223,223,Bourbon Shopping SP
1297,861,2019-01-06,14,Camiseta Xadrez,1,200,200,Bourbon Shopping SP
1322,882,2019-01-06,14,Polo Linho,1,176,176,Bourbon Shopping SP
1421,945,2019-01-07,14,Meia Listrado,2,37,74,Bourbon Shopping SP
1422,945,2019-01-07,14,Camisa Listrado,1,108,108,Bourbon Shopping SP
1456,967,2019-01-07,14,Short Xadrez,2,100,200,Bourbon Shopping SP
1501,1000,2019-01-07,14,Mochila,1,270,270,Bourbon Shopping SP
1502,1000,2019-01-07,14,Camisa Gola V Liso,2,118,236,Bourbon Shopping SP
1595,1054,2019-01-07,14,Meia Estampa,2,50,100,Bourbon Shopping SP
1614,1070,2019-01-07,14,Camisa Gola V Liso,1,118,118,Bourbon Shopping SP
1625,1076,2019-01-07,14,Sunga Estampa,5,120,600,Bourbon Shopping SP
1626,1076,2019-01-07,14,Sunga Liso,2,114,228,Bourbon Shopping SP
1628,1079,2019-01-07,14,Short Estampa,2,96,192,Bourbon Shopping SP
1629,1079,2019-01-07,14,Cinto Liso,2,209,418,Bourbon Shopping SP
1630,1079,2019-01-07,14,Sunga Xadrez,1,116,116,Bourbon Shopping SP
1719,1137,2019-01-08,14,Cinto Listrado,1,214,214,Bourbon Shopping SP
1755,1165,2019-01-08,14,Meia Listrado,1,37,37,Bourbon Shopping SP
1771,1176,2019-01-08,14,Short Estampa,3,96,288,Bourbon Shopping SP
1772,1176,2019-01-08,14,Polo Xadrez,1,142,142,Bourbon Shopping SP
1868,1255,2019-01-08,14,Chinelo Listrado,4,73,292,Bourbon Shopping SP
1869,1255,2019-01-08,14,Camisa Xadrez,1,105,105,Bourbon Shopping SP
1870,1255,2019-01-08,14,Pulseira Linho,3,114,342,Bourbon Shopping SP
1871,1257,2019-01-08,14,Terno Listrado,3,709,2127,Bourbon Shopping SP
1872,1257,2019-01-08,14,Camisa Gola V Xadrez,3,107,321,Bourbon Shopping SP
1873,1257,2019-01-08,14,Short Estampa,2,96,192,Bourbon Shopping SP
1874,1258,2019-01-08,14,Chinelo Estampa,5,74,370,Bourbon Shopping SP
1875,1258,2019-01-08,14,Casaco Liso,2,255,510,Bourbon Shopping SP
1958,1315,2019-01-08,14,Tênis Estampa,1,256,256,Bourbon Shopping SP
1959,1315,2019-01-08,14,Sunga,4,100,400,Bourbon Shopping SP
1996,1333,2019-01-09,14,Gorro Liso,2,92,184,Bourbon Shopping SP
1997,1333,2019-01-09,14,Meia,3,30,90,Bourbon Shopping SP
1998,1333,2019-01-09,14,Bermuda Listrado,3,163,489,Bourbon Shopping SP
1999,1333,2019-01-09,14,Tênis Estampa,1,256,256,Bourbon Shopping SP
2000,1333,2019-01-09,14,Polo Listrado,2,149,298,Bourbon Shopping SP
2017,1343,2019-01-09,14,Cinto Liso,2,209,418,Bourbon Shopping SP
2024,1347,2019-01-09,14,Relógio Linho,1,240,240,Bourbon Shopping SP
2025,1347,2019-01-09,14,Gorro Listrado,1,97,97,Bourbon Shopping SP
2026,1347,2019-01-09,14,Relógio,1,200,200,Bourbon Shopping SP
2032,1351,2019-01-09,14,Gorro Listrado,1,97,97,Bourbon Shopping SP
2033,1351,2019-01-09,14,Mochila,5,270,1350,Bourbon Shopping SP
2034,1351,2019-01-09,14,Sapato Estampa,1,358,358,Bourbon Shopping SP
2066,1371,2019-01-09,14,Short Linho,1,133,133,Bourbon Shopping SP
2067,1371,2019-01-09,14,Cueca Linho,5,93,465,Bourbon Shopping SP
2068,1371,2019-01-09,14,Relógio Listrado,2,218,436,Bourbon Shopping SP
2116,1400,2019-01-09,14,Calça Listrado,2,181,362,Bourbon Shopping SP
2121,1403,2019-01-09,14,Cinto Liso,2,209,418,Bourbon Shopping SP
2151,1423,2019-01-09,14,Camisa Gola V,3,100,300,Bourbon Shopping SP
2152,1423,2019-01-09,14,Mochila Listrado,1,275,275,Bourbon Shopping SP
2392,1581,2019-01-10,14,Sunga Listrado,1,114,114,Bourbon Shopping SP
2393,1581,2019-01-10,14,Meia Liso,5,38,190,Bourbon Shopping SP
2415,1596,2019-01-10,14,Tênis Listrado,1,262,262,Bourbon Shopping SP
2426,1602,2019-01-10,14,Cinto Linho,1,248,248,Bourbon Shopping SP
2427,1602,2019-01-10,14,Pulseira Linho,5,114,570,Bourbon Shopping SP
2428,1602,2019-01-10,14,Tênis Linho,3,294,882,Bourbon Shopping SP
2443,1611,2019-01-10,14,Pulseira Listrado,2,79,158,Bourbon Shopping SP
2444,1611,2019-01-10,14,Pulseira,4,70,280,Bourbon Shopping SP
2456,1620,2019-01-10,14,Sapato Liso,2,368,736,Bourbon Shopping SP
2457,1620,2019-01-10,14,Camisa Gola V,3,100,300,Bourbon Shopping SP
2458,1620,2019-01-10,14,Meia Xadrez,4,41,164,Bourbon Shopping SP
2459,1620,2019-01-10,14,Chinelo Liso,1,71,71,Bourbon Shopping SP
2460,1620,2019-01-10,14,Bermuda Listrado,1,163,163,Bourbon Shopping SP
2461,1620,2019-01-10,14,Pulseira Xadrez,1,87,87,Bourbon Shopping SP
2462,1620,2019-01-10,14,Mochila Linho,2,311,622,Bourbon Shopping SP
2500,1643,2019-01-10,14,Sunga Listrado,3,114,342,Bourbon Shopping SP
2589,1705,2019-01-11,14,Bermuda Liso,1,157,157,Bourbon Shopping SP
2627,1734,2019-01-11,14,Casaco Listrado,2,269,538,Bourbon Shopping SP
