,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
30,23,2019-01-02,17,Bermuda Estampa,3,169,507,Center Shopping Uberlândia
31,23,2019-01-02,17,Chinelo Liso,3,71,213,Center Shopping Uberlândia
85,65,2019-01-02,17,Gorro Listrado,1,97,97,Center Shopping Uberlândia
86,65,2019-01-02,17,Gorro Xadrez,1,85,85,Center Shopping Uberlândia
104,80,2019-01-02,17,Meia Linho,3,78,234,Center Shopping Uberlândia
105,80,2019-01-02,17,Meia Linho,3,78,234,Center Shopping Uberlândia
184,139,2019-01-02,17,Camisa Gola V Listrado,5,116,580,Center Shopping Uberlândia
185,139,2019-01-02,17,Casaco Linho,2,299,598,Center Shopping Uberlândia
311,221,2019-01-03,17,Camisa Gola V Linho,1,145,145,Center Shopping Uberlândia
312,221,2019-01-03,17,Short Listrado,1,102,102,Center Shopping Uberlândia
313,221,2019-01-03,17,Chinelo Linho,2,105,210,Center Shopping Uberlândia
337,240,2019-01-03,17,Gorro Listrado,3,97,291,Center Shopping Uberlândia
383,270,2019-01-03,17,Terno Linho,3,750,2250,Center Shopping Uberlândia
384,270,2019-01-03,17,Meia Listrado,5,37,185,Center Shopping Uberlândia
393,276,2019-01-03,17,Cueca,1,50,50,Center Shopping Uberlândia
394,276,2019-01-03,17,Gorro Listrado,3,97,291,Center Shopping Uberlândia
501,353,2019-01-03,17,Pulseira Linho,2,114,228,Center Shopping Uberlândia
502,353,2019-01-03,17,Sunga Listrado,2,114,228,Center Shopping Uberlândia
545,379,2019-01-03,17,Camisa Listrado,3,108,324,Center Shopping Uberlândia
546,379,2019-01-03,17,Camiseta,4,180,720,Center Shopping Uberlândia
609,418,2019-01-04,17,Bermuda Estampa,1,169,169,Center Shopping Uberlândia
622,424,2019-01-04,17,Tênis Linho,3,294,882,Center Shopping Uberlândia
623,424,2019-01-04,17,Calça,1,170,170,Center Shopping Uberlândia
649,440,2019-01-04,17,Cinto Linho,2,248,496,Center Shopping Uberlândia
650,440,2019-01-04,17,Casaco Xadrez,1,259,259,Center Shopping Uberlândia
657,444,2019-01-04,17,Bermuda Xadrez,1,155,155,Center Shopping Uberlândia
764,513,2019-01-04,17,Sapato Listrado,4,363,1452,Center Shopping Uberlândia
806,540,2019-01-04,17,Cueca Listrado,1,67,67,Center Shopping Uberlândia
892,595,2019-01-05,17,Mochila Linho,2,311,622,Center Shopping Uberlândia
908,603,2019-01-05,17,Mochila,2,270,540,Center Shopping Uberlândia
910,605,2019-01-05,17,Tênis Liso,3,266,798,Center Shopping Uberlândia
911,605,2019-01-05,17,Camiseta Liso,4,187,748,Center Shopping Uberlândia
949,635,2019-01-05,17,Relógio Xadrez,2,214,428,Center Shopping Uberlândia
950,635,2019-01-05,17,Relógio Listrado,1,218,218,Center Shopping Uberlândia
961,643,2019-01-05,17,Chinelo,3,60,180,Center Shopping Uberlândia
998,663,2019-01-05,17,Tênis Xadrez,2,259,518,Center Shopping Uberlândia
999,663,2019-01-05,17,Chinelo Estampa,1,74,74,Center Shopping Uberlândia
1099,728,2019-01-05,17,Relógio Linho,1,240,240,Center Shopping Uberlândia
1100,728,2019-01-05,17,Meia Xadrez,1,41,41,Center Shopping Uberlândia
1101,728,2019-01-05,17,Terno Estampa,3,706,2118,Center Shopping Uberlândia
1125,745,2019-01-05,17,Camiseta,2,180,360,Center Shopping Uberlândia
1139,754,2019-01-06,17,Mochila Liso,1,276,276,Center Shopping Uberlândia
1140,754,2019-01-06,17,Bermuda Estampa,4,169,676,Center Shopping Uberlândia
1167,773,2019-01-06,17,Polo Estampa,2,138,276,Center Shopping Uberlândia
1235,831,2019-01-06,17,Short,5,90,450,Center Shopping Uberlândia
1236,831,2019-01-06,17,Casaco Xadrez,1,259,259,Center Shopping Uberlândia
1237,831,2019-01-06,17,Gorro Xadrez,2,85,170,Center Shopping Uberlândia
1240,833,2019-01-06,17,Camiseta,2,180,360,Center Shopping Uberlândia
1241,833,2019-01-06,17,Terno Estampa,2,706,1412,Center Shopping Uberlândia
1252,839,2019-01-06,17,Bermuda Listrado,3,163,489,Center Shopping Uberlândia
1253,839,2019-01-06,17,Meia Listrado,2,37,74,Center Shopping Uberlândia
