,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
0,1,2019-01-01,1,Sapato Estampa,1,358,358,Iguatemi Esplanada
1,1,2019-01-01,1,Camiseta,2,180,360,Iguatemi Esplanada
2,1,2019-01-01,1,Sapato Xadrez,1,368,368,Iguatemi Esplanada
26,21,2019-01-02,1,Camisa Gola V Listrado,2,116,232,Iguatemi Esplanada
44,34,2019-01-02,1,Sapato Listrado,1,363,363,Iguatemi Esplanada
45,34,2019-01-02,1,Camisa Gola V Liso,2,118,236,Iguatemi Esplanada
67,49,2019-01-02,1,Terno Xadrez,3,709,2127,Iguatemi Esplanada
68,49,2019-01-02,1,Sapato Liso,1,368,368,Iguatemi Esplanada
83,63,2019-01-02,1,Sunga,3,100,300,Iguatemi Esplanada
84,63,2019-01-02,1,Camisa Gola V Liso,4,118,472,Iguatemi Esplanada
150,116,2019-01-02,1,Sapato,5,350,1750,Iguatemi Esplanada
151,116,2019-01-02,1,Calça Xadrez,1,185,185,Iguatemi Esplanada
160,123,2019-01-02,1,Bermuda Listrado,1,163,163,Iguatemi Esplanada
210,151,2019-01-02,1,Meia Listrado,3,37,111,Iguatemi Esplanada
254,184,2019-01-02,1,Polo Linho,2,176,352,Iguatemi Esplanada
255,184,2019-01-02,1,Camisa Listrado,2,108,216,Iguatemi Esplanada
256,184,2019-01-02,1,Sapato Linho,2,391,782,Iguatemi Esplanada
257,184,2019-01-02,1,Sapato Estampa,1,358,358,Iguatemi Esplanada
371,262,2019-01-03,1,Mochila Xadrez,1,283,283,Iguatemi Esplanada
372,262,2019-01-03,1,Sapato Linho,1,391,391,Iguatemi Esplanada
380,268,2019-01-03,1,Gorro Estampa,2,93,186,Iguatemi Esplanada
459,325,2019-01-03,1,Tênis Xadrez,1,259,259,Iguatemi Esplanada
460,325,2019-01-03,1,Gorro,2,80,160,Iguatemi Esplanada
461,325,2019-01-03,1,Tênis Xadrez,2,259,518,Iguatemi Esplanada
462,325,2019-01-03,1,Calça,2,170,340,Iguatemi Esplanada
527,365,2019-01-03,1,Cinto Xadrez,3,215,645,Iguatemi Esplanada
528,365,2019-01-03,1,Terno Linho,2,750,1500,Iguatemi Esplanada
529,365,2019-01-03,1,Relógio,1,200,200,Iguatemi Esplanada
530,365,2019-01-03,1,Sapato Linho,1,391,391,Iguatemi Esplanada
534,369,2019-01-03,1,Gorro Listrado,4,97,388,Iguatemi Esplanada
539,372,2019-01-03,1,Camisa Listrado,3,108,324,Iguatemi Esplanada
540,372,2019-01-03,1,Cueca,3,50,150,Iguatemi Esplanada
631,430,2019-01-04,1,Chinelo Linho,3,105,315,Iguatemi Esplanada
662,448,2019-01-04,1,Polo Xadrez,3,142,426,Iguatemi Esplanada
663,448,2019-01-04,1,Cinto Liso,3,209,627,Iguatemi Esplanada
664,448,2019-01-04,1,Sunga Xadrez,3,116,348,Iguatemi Esplanada
665,448,2019-01-04,1,Gorro,1,80,80,Iguatemi Esplanada
666,448,2019-01-04,1,Bermuda Listrado,2,163,326,Iguatemi Esplanada
