,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
3,2,2019-01-02,3,Relógio,3,200,600,Norte Shopping
4,2,2019-01-02,3,Chinelo Liso,1,71,71,Norte Shopping
8,7,2019-01-02,3,Camisa Gola V Listrado,1,116,116,Norte Shopping
9,7,2019-01-02,3,Camisa Liso,1,105,105,Norte Shopping
100,73,2019-01-02,3,Cueca Xadrez,5,60,300,Norte Shopping
101,73,2019-01-02,3,Cueca Listrado,1,67,67,Norte Shopping
182,137,2019-01-02,3,Cueca,2,50,100,Norte Shopping
201,147,2019-01-02,3,Camisa Xadrez,2,105,210,Norte Shopping
202,147,2019-01-02,3,Cueca,3,50,150,Norte Shopping
203,147,2019-01-02,3,Gorro Liso,2,92,184,Norte Shopping
270,195,2019-01-02,3,Cinto,1,200,200,Norte Shopping
271,195,2019-01-02,3,Relógio Liso,3,216,648,Norte Shopping
272,196,2019-01-02,3,Cueca Xadrez,2,60,120,Norte Shopping
277,201,2019-01-02,3,Relógio,2,200,400,Norte Shopping
278,201,2019-01-02,3,Mochila Estampa,3,277,831,Norte Shopping
340,244,2019-01-03,3,Pulseira Liso,1,87,87,Norte Shopping
342,247,2019-01-03,3,Camisa Gola V Listrado,2,116,232,Norte Shopping
343,247,2019-01-03,3,Polo Xadrez,1,142,142,Norte Shopping
449,317,2019-01-03,3,Chinelo Liso,1,71,71,Norte Shopping
450,317,2019-01-03,3,Meia Listrado,1,37,37,Norte Shopping
547,380,2019-01-03,3,Mochila Estampa,1,277,277,Norte Shopping
588,402,2019-01-04,3,Camiseta Xadrez,1,200,200,Norte Shopping
589,402,2019-01-04,3,Meia Xadrez,1,41,41,Norte Shopping
590,402,2019-01-04,3,Polo,5,130,650,Norte Shopping
648,439,2019-01-04,3,Pulseira Estampa,4,87,348,Norte Shopping
690,466,2019-01-04,3,Camisa Listrado,1,108,108,Norte Shopping
691,466,2019-01-04,3,Meia Xadrez,1,41,41,Norte Shopping
825,555,2019-01-04,3,Gorro Liso,1,92,92,Norte Shopping
826,555,2019-01-04,3,Cueca Linho,1,93,93,Norte Shopping
