,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
27,22,2019-01-02,13,Meia,1,30,30,Parque Dom Pedro Shopping
28,22,2019-01-02,13,Meia Linho,2,78,156,Parque Dom Pedro Shopping
29,22,2019-01-02,13,Calça Liso,2,190,380,Parque Dom Pedro Shopping
46,35,2019-01-02,13,Relógio,2,200,400,Parque Dom Pedro Shopping
47,35,2019-01-02,13,Sapato,2,350,700,Parque Dom Pedro Shopping
69,51,2019-01-02,13,Cinto Listrado,1,214,214,Parque Dom Pedro Shopping
112,86,2019-01-02,13,Polo,1,130,130,Parque Dom Pedro Shopping
137,106,2019-01-02,13,Pulseira Liso,4,87,348,Parque Dom Pedro Shopping
141,108,2019-01-02,13,Polo Listrado,4,149,596,Parque Dom Pedro Shopping
152,117,2019-01-02,13,Camisa Xadrez,3,105,315,Parque Dom Pedro Shopping
153,117,2019-01-02,13,Mochila Estampa,1,277,277,Parque Dom Pedro Shopping
226,161,2019-01-02,13,Bermuda Listrado,2,163,326,Parque Dom Pedro Shopping
231,167,2019-01-02,13,Chinelo Liso,1,71,71,Parque Dom Pedro Shopping
232,167,2019-01-02,13,Cueca Listrado,1,67,67,Parque Dom Pedro Shopping
233,168,2019-01-02,13,Mochila Estampa,1,277,277,Parque Dom Pedro Shopping
237,170,2019-01-02,13,Tênis Xadrez,3,259,777,Parque Dom Pedro Shopping
259,186,2019-01-02,13,Relógio,4,200,800,Parque Dom Pedro Shopping
264,191,2019-01-02,13,Calça,2,170,340,Parque Dom Pedro Shopping
265,191,2019-01-02,13,Casaco Xadrez,4,259,1036,Parque Dom Pedro Shopping
304,218,2019-01-03,13,Camisa Xadrez,3,105,315,Parque Dom Pedro Shopping
305,218,2019-01-03,13,Mochila,5,270,1350,Parque Dom Pedro Shopping
306,218,2019-01-03,13,Meia Listrado,3,37,111,Parque Dom Pedro Shopping
373,263,2019-01-03,13,Sapato Liso,1,368,368,Parque Dom Pedro Shopping
374,263,2019-01-03,13,Sapato Xadrez,4,368,1472,Parque Dom Pedro Shopping
375,263,2019-01-03,13,Camiseta Estampa,1,196,196,Parque Dom Pedro Shopping
376,263,2019-01-03,13,Gorro,3,80,240,Parque Dom Pedro Shopping
387,272,2019-01-03,13,Chinelo Liso,4,71,284,Parque Dom Pedro Shopping
402,285,2019-01-03,13,Casaco Liso,5,255,1275,Parque Dom Pedro Shopping
403,285,2019-01-03,13,Polo Xadrez,2,142,284,Parque Dom Pedro Shopping
427,302,2019-01-03,13,Relógio Listrado,2,218,436,Parque Dom Pedro Shopping
431,305,2019-01-03,13,Calça Estampa,4,177,708,Parque Dom Pedro Shopping
503,354,2019-01-03,13,Camisa Gola V Xadrez,1,107,107,Parque Dom Pedro Shopping
510,358,2019-01-03,13,Camisa Linho,2,141,282,Parque Dom Pedro Shopping
511,358,2019-01-03,13,Tênis Xadrez,4,259,1036,Parque Dom Pedro Shopping
557,386,2019-01-03,13,Camisa,3,100,300,Parque Dom Pedro Shopping
558,386,2019-01-03,13,Calça,2,170,340,Parque Dom Pedro Shopping
573,394,2019-01-04,13,Camisa,2,100,200,Parque Dom Pedro Shopping
594,407,2019-01-04,13,Sunga Liso,4,114,456,Parque Dom Pedro Shopping
608,417,2019-01-04,13,Cueca Linho,2,93,186,Parque Dom Pedro Shopping
681,459,2019-01-04,13,Camisa Linho,1,141,141,Parque Dom Pedro Shopping
761,511,2019-01-04,13,Meia Estampa,1,50,50,Parque Dom Pedro Shopping
775,521,2019-01-04,13,Camisa Estampa,5,113,565,Parque Dom Pedro Shopping
776,521,2019-01-04,13,Terno,3,700,2100,Parque Dom Pedro Shopping
848,568,2019-01-04,13,Mochila,1,270,270,Parque Dom Pedro Shopping
849,568,2019-01-04,13,Polo Linho,3,176,528,Parque Dom Pedro Shopping
865,577,2019-01-05,13,Short Estampa,2,96,192,Parque Dom Pedro Shopping
866,577,2019-01-05,13,Short Xadrez,2,100,200,Parque Dom Pedro Shopping
883,589,2019-01-05,13,Polo Xadrez,2,142,284,Parque Dom Pedro Shopping
884,589,2019-01-05,13,Sapato Estampa,5,358,1790,Parque Dom Pedro Shopping
919,613,2019-01-05,13,Casaco,5,250,1250,Parque Dom Pedro Shopping
920,613,2019-01-05,13,Short Linho,4,133,532,Parque Dom Pedro Shopping
1247,835,2019-01-06,13,Chinelo Listrado,1,73,73,Parque Dom Pedro Shopping
1298,862,2019-01-06,13,Cinto Estampa,5,209,1045,Parque Dom Pedro Shopping
