,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
13,10,2019-01-02,16,Camiseta Xadrez,2,200,400,Passei das Águas Shopping
14,10,2019-01-02,16,Cueca Liso,1,69,69,Passei das Águas Shopping
23,19,2019-01-02,16,Relógio Listrado,1,218,218,Passei das Águas Shopping
24,19,2019-01-02,16,Calça Linho,2,211,422,Passei das Águas Shopping
276,199,2019-01-02,16,Camiseta,2,180,360,Passei das Águas Shopping
286,208,2019-01-03,16,Terno Linho,1,750,750,Passei das Águas Shopping
333,237,2019-01-03,16,Sunga Listrado,1,114,114,Passei das Águas Shopping
334,237,2019-01-03,16,Bermuda Linho,1,195,195,Passei das Águas Shopping
346,251,2019-01-03,16,Sunga,2,100,200,Passei das Águas Shopping
347,251,2019-01-03,16,Calça,1,170,170,Passei das Águas Shopping
348,251,2019-01-03,16,Terno Liso,2,720,1440,Passei das Águas Shopping
351,254,2019-01-03,16,Tênis Listrado,1,262,262,Passei das Águas Shopping
352,254,2019-01-03,16,Gorro Xadrez,3,85,255,Passei das Águas Shopping
353,254,2019-01-03,16,Polo Estampa,2,138,276,Passei das Águas Shopping
354,254,2019-01-03,16,Short Estampa,1,96,96,Passei das Águas Shopping
355,254,2019-01-03,16,Polo Estampa,1,138,138,Passei das Águas Shopping
389,274,2019-01-03,16,Cueca Linho,1,93,93,Passei das Águas Shopping
390,274,2019-01-03,16,Sunga Estampa,2,120,240,Passei das Águas Shopping
418,295,2019-01-03,16,Sapato Estampa,3,358,1074,Passei das Águas Shopping
419,295,2019-01-03,16,Gorro Listrado,3,97,291,Passei das Águas Shopping
483,338,2019-01-03,16,Camisa Xadrez,4,105,420,Passei das Águas Shopping
642,435,2019-01-04,16,Cinto Liso,2,209,418,Passei das Águas Shopping
643,435,2019-01-04,16,Camisa Estampa,2,113,226,Passei das Águas Shopping
644,435,2019-01-04,16,Sunga Estampa,1,120,120,Passei das Águas Shopping
678,457,2019-01-04,16,Short,4,90,360,Passei das Águas Shopping
682,461,2019-01-04,16,Cueca Xadrez,4,60,240,Passei das Águas Shopping
683,461,2019-01-04,16,Sunga,2,100,200,Passei das Águas Shopping
684,461,2019-01-04,16,Chinelo Linho,2,105,210,Passei das Águas Shopping
751,506,2019-01-04,16,Pulseira Liso,3,87,261,Passei das Águas Shopping
752,506,2019-01-04,16,Short,2,90,180,Passei das Águas Shopping
758,510,2019-01-04,16,Pulseira Estampa,3,87,261,Passei das Águas Shopping
759,510,2019-01-04,16,Camisa Gola V Xadrez,1,107,107,Passei das Águas Shopping
760,510,2019-01-04,16,Cueca Linho,1,93,93,Passei das Águas Shopping
765,514,2019-01-04,16,Tênis Linho,5,294,1470,Passei das Águas Shopping
766,514,2019-01-04,16,Gorro,1,80,80,Passei das Águas Shopping
767,514,2019-01-04,16,Pulseira Listrado,4,79,316,Passei das Águas Shopping
813,545,2019-01-04,16,Gorro,5,80,400,Passei das Águas Shopping
814,545,2019-01-04,16,Casaco Listrado,1,269,269,Passei das Águas Shopping
815,545,2019-01-04,16,Terno,5,700,3500,Passei das Águas Shopping
930,623,2019-01-05,16,Sapato Xadrez,4,368,1472,Passei das Águas Shopping
931,623,2019-01-05,16,Camiseta Listrado,2,197,394,Passei das Águas Shopping
948,634,2019-01-05,16,Tênis Listrado,1,262,262,Passei das Águas Shopping
981,655,2019-01-05,16,Camisa Liso,3,105,315,Passei das Águas Shopping
982,655,2019-01-05,16,Pulseira Linho,1,114,114,Passei das Águas Shopping
983,655,2019-01-05,16,Calça Xadrez,3,185,555,Passei das Águas Shopping
984,655,2019-01-05,16,Polo Xadrez,1,142,142,Passei das Águas Shopping
1027,688,2019-01-05,16,Short Listrado,5,102,510,Passei das Águas Shopping
1085,723,2019-01-05,16,Cueca Liso,1,69,69,Passei das Águas Shopping
1086,723,2019-01-05,16,Camisa Gola V Liso,2,118,236,Passei das Águas Shopping
1087,723,2019-01-05,16,Pulseira Listrado,3,79,237,Passei das Águas Shopping
1144,758,2019-01-06,16,Chinelo,1,60,60,Passei das Águas Shopping
1145,758,2019-01-06,16,Bermuda,1,150,150,Passei das Águas Shopping
1271,847,2019-01-06,16,Pulseira,1,70,70,Passei das Águas Shopping
1332,890,2019-01-06,16,Relógio Linho,5,240,1200,Passei das Águas Shopping
1333,890,2019-01-06,16,Relógio Liso,2,216,432,Passei das Águas Shopping
1469,975,2019-01-07,16,Cueca Xadrez,1,60,60,Passei das Águas Shopping
1493,995,2019-01-07,16,Gorro,2,80,160,Passei das Águas Shopping
1494,995,2019-01-07,16,Cueca,1,50,50,Passei das Águas Shopping
1517,1011,2019-01-07,16,Tênis Listrado,3,262,786,Passei das Águas Shopping
1518,1011,2019-01-07,16,Casaco Liso,1,255,255,Passei das Águas Shopping
1605,1064,2019-01-07,16,Bermuda Linho,2,195,390,Passei das Águas Shopping
1713,1135,2019-01-08,16,Casaco Xadrez,1,259,259,Passei das Águas Shopping
1714,1135,2019-01-08,16,Relógio Linho,2,240,480,Passei das Águas Shopping
1715,1135,2019-01-08,16,Cinto Listrado,4,214,856,Passei das Águas Shopping
1716,1135,2019-01-08,16,Chinelo Xadrez,2,66,132,Passei das Águas Shopping
1739,1155,2019-01-08,16,Relógio Estampa,1,219,219,Passei das Águas Shopping
1740,1155,2019-01-08,16,Chinelo Liso,5,71,355,Passei das Águas Shopping
1741,1155,2019-01-08,16,Mochila Listrado,1,275,275,Passei das Águas Shopping
1742,1155,2019-01-08,16,Sapato Estampa,1,358,358,Passei das Águas Shopping
1775,1179,2019-01-08,16,Chinelo Xadrez,1,66,66,Passei das Águas Shopping
1887,1267,2019-01-08,16,Tênis Xadrez,1,259,259,Passei das Águas Shopping
1938,1302,2019-01-08,16,Short Linho,5,133,665,Passei das Águas Shopping
1939,1302,2019-01-08,16,Mochila Estampa,1,277,277,Passei das Águas Shopping
1940,1302,2019-01-08,16,Tênis,1,250,250,Passei das Águas Shopping
1954,1312,2019-01-08,16,Pulseira Estampa,1,87,87,Passei das Águas Shopping
2083,1383,2019-01-09,16,Tênis Xadrez,1,259,259,Passei das Águas Shopping
2084,1383,2019-01-09,16,Pulseira Linho,2,114,228,Passei das Águas Shopping
2085,1383,2019-01-09,16,Mochila Listrado,2,275,550,Passei das Águas Shopping
2110,1398,2019-01-09,16,Chinelo Linho,1,105,105,Passei das Águas Shopping
2111,1398,2019-01-09,16,Casaco,1,250,250,Passei das Águas Shopping
2165,1433,2019-01-09,16,Pulseira Estampa,1,87,87,Passei das Águas Shopping
2179,1441,2019-01-09,16,Calça Xadrez,2,185,370,Passei das Águas Shopping
2180,1441,2019-01-09,16,Tênis Xadrez,1,259,259,Passei das Águas Shopping
2364,1560,2019-01-10,16,Sunga Liso,1,114,114,Passei das Águas Shopping
2365,1560,2019-01-10,16,Relógio Liso,1,216,216,Passei das Águas Shopping
2388,1576,2019-01-10,16,Cinto Listrado,1,214,214,Passei das Águas Shopping
2544,1675,2019-01-11,16,Gorro Linho,1,124,124,Passei das Águas Shopping
2614,1720,2019-01-11,16,Pulseira Listrado,2,79,158,Passei das Águas Shopping
2615,1720,2019-01-11,16,Camiseta Listrado,2,197,394,Passei das Águas Shopping
2617,1724,2019-01-11,16,Meia Listrado,1,37,37,Passei das Águas Shopping
2618,1724,2019-01-11,16,Chinelo,2,60,120,Passei das Águas Shopping
2710,1796,2019-01-11,16,Chinelo Xadrez,1,66,66,Passei das Águas Shopping
2733,1812,2019-01-11,16,Gorro Estampa,3,93,279,Passei das Águas Shopping
2734,1812,2019-01-11,16,Chinelo Listrado,1,73,73,Passei das Águas Shopping
2776,1836,2019-01-11,16,Pulseira Listrado,1,79,79,Passei das Águas Shopping
2777,1836,2019-01-11,16,Calça Estampa,2,177,354,Passei das Águas Shopping
2778,1836,2019-01-11,16,Relógio Xadrez,4,214,856,Passei das Águas Shopping
2809,1858,2019-01-11,16,Casaco Linho,2,299,598,Passei das Águas Shopping
2810,1858,2019-01-11,16,Sunga Liso,1,114,114,Passei das Águas Shopping
2811,1858,2019-01-11,16,Calça Linho,1,211,211,Passei das Águas Shopping
2849,1888,2019-01-12,16,Pulseira Xadrez,2,87,174,Passei das Águas Shopping
2850,1888,2019-01-12,16,Relógio Listrado,1,218,218,Passei das Águas Shopping
2910,1932,2019-01-12,16,Pulseira Linho,2,114,228,Passei das Águas Shopping
2911,1932,2019-01-12,16,Calça Estampa,1,177,177,Passei das Águas Shopping
2912,1932,2019-01-12,16,Relógio Linho,1,240,240,Passei das Águas Shopping
2913,1932,2019-01-12,16,Camisa Gola V Linho,4,145,580,Passei das Águas Shopping
2948,1951,2019-01-12,16,Bermuda Linho,2,195,390,Passei das Águas Shopping
2967,1967,2019-01-12,16,Cinto Estampa,2,209,418,Passei das Águas Shopping
2968,1967,2019-01-12,16,Relógio Estampa,1,219,219,Passei das Águas Shopping
2969,1967,2019-01-12,16,Cueca,2,50,100,Passei das Águas Shopping
3007,1997,2019-01-12,16,Mochila Listrado,2,275,550,Passei das Águas Shopping
3068,2061,2019-01-12,16,Relógio Linho,2,240,480,Passei das Águas Shopping
3069,2061,2019-01-12,16,Gorro Listrado,2,97,194,Passei das Águas Shopping
3095,2078,2019-01-12,16,Relógio Estampa,2,219,438,Passei das Águas Shopping
3133,2115,2019-01-13,16,Casaco Liso,4,255,1020,Passei das Águas Shopping
3193,2152,2019-01-13,16,Chinelo Listrado,1,73,73,Passei das Águas Shopping
3194,2152,2019-01-13,16,Casaco Estampa,3,256,768,Passei das Águas Shopping
3195,2153,2019-01-13,16,Meia Xadrez,1,41,41,Passei das Águas Shopping
3234,2178,2019-01-13,16,Short,4,90,360,Passei das Águas Shopping
3269,2203,2019-01-13,16,Camiseta Listrado,1,197,197,Passei das Águas Shopping
3270,2203,2019-01-13,16,Short Estampa,1,96,96,Passei das Águas Shopping
3271,2203,2019-01-13,16,Mochila Linho,1,311,311,Passei das Águas Shopping
3272,2204,2019-01-13,16,Gorro,1,80,80,Passei das Águas Shopping
3273,2204,2019-01-13,16,Meia Linho,1,78,78,Passei das Águas Shopping
3274,2204,2019-01-13,16,Pulseira Listrado,2,79,158,Passei das Águas Shopping
3275,2204,2019-01-13,16,Polo Liso,5,137,685,Passei das Águas Shopping
3305,2224,2019-01-13,16,Camisa Gola V,1,100,100,Passei das Águas Shopping
3307,2227,2019-01-13,16,Terno,1,700,700,Passei das Águas Shopping
3375,2275,2019-01-13,16,Polo Liso,2,137,274,Passei das Águas Shopping
3380,2280,2019-01-13,16,Pulseira Xadrez,1,87,87,Passei das Águas Shopping
3386,2284,2019-01-13,16,Cinto Estampa,2,209,418,Passei das Águas Shopping
3387,2284,2019-01-13,16,Camiseta Liso,2,187,374,Passei das Águas Shopping
3388,2284,2019-01-14,16,Meia Xadrez,1,41,41,Passei das Águas Shopping
3453,2335,2019-01-14,16,Camiseta Liso,1,187,187,Passei das Águas Shopping
3454,2335,2019-01-14,16,Terno,5,700,3500,Passei das Águas Shopping
3455,2335,2019-01-14,16,Gorro,1,80,80,Passei das Águas Shopping
3456,2335,2019-01-14,16,Terno Xadrez,1,709,709,Passei das Águas Shopping
3504,2367,2019-01-14,16,Camisa Xadrez,4,105,420,Passei das Águas Shopping
3505,2367,2019-01-14,16,Camiseta Xadrez,3,200,600,Passei das Águas Shopping
3509,2370,2019-01-14,16,Chinelo,3,60,180,Passei das Águas Shopping
