,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
81,62,2019-01-02,11,Camisa Gola V Estampa,1,118,118,Ribeirão Shopping
82,62,2019-01-02,11,Chinelo Estampa,2,74,148,Ribeirão Shopping
109,84,2019-01-02,11,Pulseira Xadrez,5,87,435,Ribeirão Shopping
110,84,2019-01-02,11,Sapato Liso,3,368,1104,Ribeirão Shopping
111,84,2019-01-02,11,Calça,1,170,170,Ribeirão Shopping
125,98,2019-01-02,11,Sunga Liso,3,114,342,Ribeirão Shopping
167,127,2019-01-02,11,Camisa Estampa,2,113,226,Ribeirão Shopping
168,127,2019-01-02,11,Short,1,90,90,Ribeirão Shopping
171,131,2019-01-02,11,Bermuda Liso,4,157,628,Ribeirão Shopping
228,163,2019-01-02,11,Mochila Estampa,5,277,1385,Ribeirão Shopping
316,225,2019-01-03,11,Mochila Liso,3,276,828,Ribeirão Shopping
317,225,2019-01-03,11,Polo Listrado,4,149,596,Ribeirão Shopping
322,229,2019-01-03,11,Terno Xadrez,2,709,1418,Ribeirão Shopping
323,229,2019-01-03,11,Sapato Estampa,4,358,1432,Ribeirão Shopping
324,229,2019-01-03,11,Bermuda Liso,1,157,157,Ribeirão Shopping
440,312,2019-01-03,11,Casaco Estampa,3,256,768,Ribeirão Shopping
441,312,2019-01-03,11,Pulseira Xadrez,1,87,87,Ribeirão Shopping
442,312,2019-01-03,11,Casaco Estampa,3,256,768,Ribeirão Shopping
448,316,2019-01-03,11,Camiseta Xadrez,1,200,200,Ribeirão Shopping
458,323,2019-01-03,11,Short,4,90,360,Ribeirão Shopping
508,357,2019-01-03,11,Camisa Gola V Liso,2,118,236,Ribeirão Shopping
509,357,2019-01-03,11,Cueca,4,50,200,Ribeirão Shopping
518,363,2019-01-03,11,Polo Linho,4,176,704,Ribeirão Shopping
519,363,2019-01-03,11,Relógio Estampa,5,219,1095,Ribeirão Shopping
520,363,2019-01-03,11,Chinelo Listrado,2,73,146,Ribeirão Shopping
521,363,2019-01-03,11,Polo Linho,5,176,880,Ribeirão Shopping
522,363,2019-01-03,11,Sapato Linho,1,391,391,Ribeirão Shopping
523,363,2019-01-03,11,Bermuda Listrado,1,163,163,Ribeirão Shopping
524,363,2019-01-03,11,Camiseta Linho,1,223,223,Ribeirão Shopping
525,364,2019-01-03,11,Bermuda Xadrez,3,155,465,Ribeirão Shopping
526,364,2019-01-03,11,Gorro Xadrez,1,85,85,Ribeirão Shopping
551,382,2019-01-03,11,Camisa,2,100,200,Ribeirão Shopping
552,382,2019-01-03,11,Terno Estampa,1,706,706,Ribeirão Shopping
619,422,2019-01-04,11,Chinelo,1,60,60,Ribeirão Shopping
624,425,2019-01-04,11,Casaco Liso,2,255,510,Ribeirão Shopping
674,454,2019-01-04,11,Terno Liso,1,720,720,Ribeirão Shopping
692,467,2019-01-04,11,Cueca Linho,2,93,186,Ribeirão Shopping
701,473,2019-01-04,11,Cueca,2,50,100,Ribeirão Shopping
702,473,2019-01-04,11,Calça Listrado,1,181,181,Ribeirão Shopping
703,473,2019-01-04,11,Meia Xadrez,2,41,82,Ribeirão Shopping
750,505,2019-01-04,11,Bermuda Xadrez,2,155,310,Ribeirão Shopping
770,516,2019-01-04,11,Camiseta Estampa,2,196,392,Ribeirão Shopping
777,522,2019-01-04,11,Camisa Gola V Liso,2,118,236,Ribeirão Shopping
778,522,2019-01-04,11,Gorro,1,80,80,Ribeirão Shopping
921,614,2019-01-05,11,Sunga Estampa,5,120,600,Ribeirão Shopping
922,614,2019-01-05,11,Short Estampa,2,96,192,Ribeirão Shopping
923,614,2019-01-05,11,Tênis Liso,4,266,1064,Ribeirão Shopping
991,660,2019-01-05,11,Sapato Linho,2,391,782,Ribeirão Shopping
992,660,2019-01-05,11,Pulseira Linho,1,114,114,Ribeirão Shopping
993,660,2019-01-05,11,Gorro Linho,1,124,124,Ribeirão Shopping
994,660,2019-01-05,11,Bermuda,1,150,150,Ribeirão Shopping
1006,670,2019-01-05,11,Pulseira Xadrez,2,87,174,Ribeirão Shopping
1016,678,2019-01-05,11,Calça Liso,1,190,190,Ribeirão Shopping
1017,678,2019-01-05,11,Meia Linho,1,78,78,Ribeirão Shopping
1018,678,2019-01-05,11,Tênis Estampa,3,256,768,Ribeirão Shopping
1043,697,2019-01-05,11,Chinelo Linho,1,105,105,Ribeirão Shopping
1068,714,2019-01-05,11,Bermuda Xadrez,1,155,155,Ribeirão Shopping
1072,716,2019-01-05,11,Bermuda Listrado,4,163,652,Ribeirão Shopping
1116,739,2019-01-05,11,Camisa Gola V Linho,4,145,580,Ribeirão Shopping
1117,739,2019-01-05,11,Camisa Gola V Linho,1,145,145,Ribeirão Shopping
1118,739,2019-01-05,11,Cinto,1,200,200,Ribeirão Shopping
1119,739,2019-01-05,11,Calça Estampa,4,177,708,Ribeirão Shopping
1123,744,2019-01-05,11,Polo Listrado,1,149,149,Ribeirão Shopping
1124,744,2019-01-05,11,Cinto Liso,1,209,209,Ribeirão Shopping
1158,766,2019-01-06,11,Pulseira Liso,1,87,87,Ribeirão Shopping
1159,766,2019-01-06,11,Chinelo Listrado,2,73,146,Ribeirão Shopping
