,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
62,46,2019-01-02,7,Camisa,1,100,100,Rio Mar Recife
63,46,2019-01-02,7,Calça Liso,2,190,380,Rio Mar Recife
64,46,2019-01-02,7,Cinto,1,200,200,Rio Mar Recife
113,87,2019-01-02,7,Camisa Estampa,1,113,113,Rio Mar Recife
142,109,2019-01-02,7,Camisa Gola V Listrado,3,116,348,Rio Mar Recife
147,113,2019-01-02,7,Sapato,2,350,700,Rio Mar Recife
420,296,2019-01-03,7,Camisa Xadrez,1,105,105,Rio Mar Recife
439,310,2019-01-03,7,Terno Linho,2,750,1500,Rio Mar Recife
443,313,2019-01-03,7,Bermuda Xadrez,2,155,310,Rio Mar Recife
451,318,2019-01-03,7,Camiseta Liso,1,187,187,Rio Mar Recife
515,360,2019-01-03,7,Short Xadrez,2,100,200,Rio Mar Recife
532,367,2019-01-03,7,Calça Estampa,1,177,177,Rio Mar Recife
533,367,2019-01-03,7,Camiseta Xadrez,3,200,600,Rio Mar Recife
574,395,2019-01-04,7,Mochila Estampa,1,277,277,Rio Mar Recife
575,395,2019-01-04,7,Pulseira Linho,2,114,228,Rio Mar Recife
693,468,2019-01-04,7,Terno,1,700,700,Rio Mar Recife
694,468,2019-01-04,7,Terno Xadrez,4,709,2836,Rio Mar Recife
695,468,2019-01-04,7,Camisa Gola V Listrado,5,116,580,Rio Mar Recife
696,468,2019-01-04,7,Sunga Listrado,1,114,114,Rio Mar Recife
725,487,2019-01-04,7,Sapato Liso,1,368,368,Rio Mar Recife
749,504,2019-01-04,7,Pulseira Listrado,2,79,158,Rio Mar Recife
926,616,2019-01-05,7,Cueca Linho,1,93,93,Rio Mar Recife
1012,676,2019-01-05,7,Relógio Listrado,2,218,436,Rio Mar Recife
1013,676,2019-01-05,7,Sapato Liso,3,368,1104,Rio Mar Recife
1050,702,2019-01-05,7,Mochila Xadrez,1,283,283,Rio Mar Recife
1051,702,2019-01-05,7,Sunga Xadrez,2,116,232,Rio Mar Recife
1059,709,2019-01-05,7,Short Xadrez,1,100,100,Rio Mar Recife
1073,717,2019-01-05,7,Relógio Linho,1,240,240,Rio Mar Recife
