,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
106,81,2019-01-02,8,Cueca Xadrez,1,60,60,Salvador Shopping
166,126,2019-01-02,8,Camisa Estampa,1,113,113,Salvador Shopping
183,138,2019-01-02,8,Pulseira Linho,5,114,570,Salvador Shopping
244,177,2019-01-02,8,Camisa Liso,2,105,210,Salvador Shopping
267,194,2019-01-02,8,Camisa Gola V Linho,4,145,580,Salvador Shopping
268,194,2019-01-02,8,Polo,1,130,130,Salvador Shopping
269,194,2019-01-02,8,Terno Linho,1,750,750,Salvador Shopping
492,345,2019-01-03,8,Meia Listrado,1,37,37,Salvador Shopping
493,345,2019-01-03,8,Pulseira,5,70,350,Salvador Shopping
627,428,2019-01-04,8,Polo,2,130,260,Salvador Shopping
628,428,2019-01-04,8,Sapato Xadrez,2,368,736,Salvador Shopping
655,443,2019-01-04,8,Cueca,4,50,200,Salvador Shopping
656,443,2019-01-04,8,Terno Linho,3,750,2250,Salvador Shopping
716,480,2019-01-04,8,Camisa Liso,3,105,315,Salvador Shopping
717,480,2019-01-04,8,Meia Xadrez,2,41,82,Salvador Shopping
730,492,2019-01-04,8,Camiseta Linho,1,223,223,Salvador Shopping
803,538,2019-01-04,8,Cinto Xadrez,3,215,645,Salvador Shopping
804,538,2019-01-04,8,Chinelo,1,60,60,Salvador Shopping
805,538,2019-01-04,8,Polo Liso,3,137,411,Salvador Shopping
881,588,2019-01-05,8,Polo Estampa,2,138,276,Salvador Shopping
882,588,2019-01-05,8,Camisa,5,100,500,Salvador Shopping
943,631,2019-01-05,8,Bermuda Xadrez,4,155,620,Salvador Shopping
944,631,2019-01-05,8,Cinto Xadrez,1,215,215,Salvador Shopping
945,631,2019-01-05,8,Relógio Listrado,5,218,1090,Salvador Shopping
995,661,2019-01-05,8,Cinto Liso,1,209,209,Salvador Shopping
996,661,2019-01-05,8,Gorro Estampa,2,93,186,Salvador Shopping
1044,698,2019-01-05,8,Cinto Estampa,3,209,627,Salvador Shopping
1045,698,2019-01-05,8,Short Xadrez,3,100,300,Salvador Shopping
1060,711,2019-01-05,8,Relógio,3,200,600,Salvador Shopping
1061,711,2019-01-05,8,Bermuda Liso,3,157,471,Salvador Shopping
1062,711,2019-01-05,8,Pulseira,1,70,70,Salvador Shopping
1063,711,2019-01-05,8,Gorro,2,80,160,Salvador Shopping
1120,740,2019-01-05,8,Short Estampa,1,96,96,Salvador Shopping
1121,740,2019-01-05,8,Cueca Liso,1,69,69,Salvador Shopping
1122,742,2019-01-05,8,Chinelo Listrado,3,73,219,Salvador Shopping
1194,798,2019-01-06,8,Cueca Estampa,1,66,66,Salvador Shopping
1195,798,2019-01-06,8,Camiseta Estampa,1,196,196,Salvador Shopping
1196,798,2019-01-06,8,Cinto Listrado,2,214,428,Salvador Shopping
1278,851,2019-01-06,8,Meia Estampa,2,50,100,Salvador Shopping
1279,851,2019-01-06,8,Short Listrado,2,102,204,Salvador Shopping
1280,851,2019-01-06,8,Cinto Liso,2,209,418,Salvador Shopping
1304,870,2019-01-06,8,Casaco Liso,1,255,255,Salvador Shopping
1305,870,2019-01-06,8,Camisa Gola V Linho,1,145,145,Salvador Shopping
1306,871,2019-01-06,8,Chinelo Xadrez,2,66,132,Salvador Shopping
1307,871,2019-01-06,8,Cueca Listrado,1,67,67,Salvador Shopping
1311,875,2019-01-06,8,Bermuda Xadrez,1,155,155,Salvador Shopping
1314,877,2019-01-06,8,Sunga Liso,1,114,114,Salvador Shopping
1317,879,2019-01-06,8,Terno Liso,3,720,2160,Salvador Shopping
1318,880,2019-01-06,8,Short,3,90,270,Salvador Shopping
1319,880,2019-01-06,8,Bermuda Xadrez,1,155,155,Salvador Shopping
1320,880,2019-01-06,8,Bermuda,3,150,450,Salvador Shopping
1321,880,2019-01-06,8,Relógio Listrado,5,218,1090,Salvador Shopping
1353,906,2019-01-06,8,Meia Listrado,4,37,148,Salvador Shopping
1379,921,2019-01-06,8,Relógio Xadrez,1,214,214,Salvador Shopping
1380,921,2019-01-06,8,Bermuda,1,150,150,Salvador Shopping
1397,931,2019-01-06,8,Camiseta Xadrez,1,200,200,Salvador Shopping
1398,931,2019-01-06,8,Mochila,4,270,1080,Salvador Shopping
1404,935,2019-01-06,8,Short Liso,1,108,108,Salvador Shopping
1405,935,2019-01-06,8,Meia Listrado,1,37,37,Salvador Shopping
1406,935,2019-01-06,8,Relógio Liso,5,216,1080,Salvador Shopping
1423,946,2019-01-07,8,Cinto Estampa,2,209,418,Salvador Shopping
1424,946,2019-01-07,8,Cinto Linho,1,248,248,Salvador Shopping
1429,950,2019-01-07,8,Tênis Linho,2,294,588,Salvador Shopping
1430,950,2019-01-07,8,Camiseta Estampa,1,196,196,Salvador Shopping
1431,950,2019-01-07,8,Terno Xadrez,1,709,709,Salvador Shopping
1432,950,2019-01-07,8,Relógio Liso,5,216,1080,Salvador Shopping
1443,960,2019-01-07,8,Gorro Xadrez,3,85,255,Salvador Shopping
1466,972,2019-01-07,8,Camisa,5,100,500,Salvador Shopping
1527,1015,2019-01-07,8,Chinelo,1,60,60,Salvador Shopping
