,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
6,5,2019-01-02,25,Calça,1,170,170,Shopping Barra
70,52,2019-01-02,25,Gorro Listrado,4,97,388,Shopping Barra
129,100,2019-01-02,25,Camisa Gola V Liso,3,118,354,Shopping Barra
130,100,2019-01-02,25,Cinto Xadrez,4,215,860,Shopping Barra
172,132,2019-01-02,25,Terno Linho,2,750,1500,Shopping Barra
173,132,2019-01-02,25,Mochila Linho,2,311,622,Shopping Barra
186,140,2019-01-02,25,Meia Listrado,2,37,74,Shopping Barra
187,140,2019-01-02,25,Sunga Linho,1,149,149,Shopping Barra
273,197,2019-01-02,25,Camiseta Linho,1,223,223,Shopping Barra
339,242,2019-01-03,25,Polo Listrado,2,149,298,Shopping Barra
500,352,2019-01-03,25,Chinelo Xadrez,5,66,330,Shopping Barra
569,392,2019-01-04,25,Short Xadrez,1,100,100,Shopping Barra
570,392,2019-01-04,25,Polo Listrado,1,149,149,Shopping Barra
607,415,2019-01-04,25,Camisa Linho,2,141,282,Shopping Barra
638,434,2019-01-04,25,Cinto,3,200,600,Shopping Barra
639,434,2019-01-04,25,Meia Linho,1,78,78,Shopping Barra
640,434,2019-01-04,25,Polo Liso,2,137,274,Shopping Barra
641,434,2019-01-04,25,Chinelo Liso,2,71,142,Shopping Barra
651,441,2019-01-04,25,Camisa Gola V Listrado,3,116,348,Shopping Barra
652,441,2019-01-04,25,Casaco Liso,4,255,1020,Shopping Barra
719,484,2019-01-04,25,Mochila Linho,1,311,311,Shopping Barra
720,484,2019-01-04,25,Relógio,1,200,200,Shopping Barra
721,484,2019-01-04,25,Camiseta Xadrez,2,200,400,Shopping Barra
724,486,2019-01-04,25,Tênis Xadrez,1,259,259,Shopping Barra
771,519,2019-01-04,25,Calça,1,170,170,Shopping Barra
787,527,2019-01-04,25,Calça Xadrez,2,185,370,Shopping Barra
788,527,2019-01-04,25,Sunga Xadrez,2,116,232,Shopping Barra
853,571,2019-01-05,25,Gorro Xadrez,2,85,170,Shopping Barra
854,571,2019-01-05,25,Cinto Linho,2,248,496,Shopping Barra
855,571,2019-01-05,25,Gorro Linho,2,124,248,Shopping Barra
857,574,2019-01-05,25,Polo Xadrez,2,142,284,Shopping Barra
858,574,2019-01-05,25,Chinelo,5,60,300,Shopping Barra
859,574,2019-01-05,25,Calça,1,170,170,Shopping Barra
870,580,2019-01-05,25,Terno Linho,2,750,1500,Shopping Barra
871,580,2019-01-05,25,Polo Liso,2,137,274,Shopping Barra
872,580,2019-01-05,25,Calça Estampa,2,177,354,Shopping Barra
917,609,2019-01-05,25,Pulseira Listrado,5,79,395,Shopping Barra
997,662,2019-01-05,25,Relógio Xadrez,1,214,214,Shopping Barra
1000,665,2019-01-05,25,Gorro,1,80,80,Shopping Barra
1001,665,2019-01-05,25,Cinto,1,200,200,Shopping Barra
1102,730,2019-01-05,25,Short Linho,3,133,399,Shopping Barra
1103,730,2019-01-05,25,Sapato Listrado,5,363,1815,Shopping Barra
1126,746,2019-01-05,25,Sapato Linho,2,391,782,Shopping Barra
1127,746,2019-01-05,25,Polo Linho,1,176,176,Shopping Barra
1248,836,2019-01-06,25,Gorro,2,80,160,Shopping Barra
1281,852,2019-01-06,25,Sapato Xadrez,1,368,368,Shopping Barra
1282,852,2019-01-06,25,Sapato Xadrez,2,368,736,Shopping Barra
1342,899,2019-01-06,25,Gorro,1,80,80,Shopping Barra
1343,899,2019-01-06,25,Short,1,90,90,Shopping Barra
1344,899,2019-01-06,25,Relógio Estampa,3,219,657,Shopping Barra
1416,938,2019-01-07,25,Camisa Gola V Xadrez,3,107,321,Shopping Barra
1417,938,2019-01-07,25,Mochila Estampa,1,277,277,Shopping Barra
1442,959,2019-01-07,25,Camisa Estampa,1,113,113,Shopping Barra
1478,981,2019-01-07,25,Meia Xadrez,1,41,41,Shopping Barra
1479,981,2019-01-07,25,Camisa Gola V Listrado,4,116,464,Shopping Barra
1489,992,2019-01-07,25,Camisa Listrado,1,108,108,Shopping Barra
1490,992,2019-01-07,25,Calça Listrado,3,181,543,Shopping Barra
1491,992,2019-01-07,25,Cinto,1,200,200,Shopping Barra
1568,1039,2019-01-07,25,Mochila Listrado,1,275,275,Shopping Barra
1583,1048,2019-01-07,25,Pulseira Liso,1,87,87,Shopping Barra
1610,1069,2019-01-07,25,Gorro Linho,2,124,248,Shopping Barra
1611,1069,2019-01-07,25,Meia Linho,2,78,156,Shopping Barra
1612,1069,2019-01-07,25,Relógio Linho,2,240,480,Shopping Barra
1613,1069,2019-01-07,25,Camiseta Liso,3,187,561,Shopping Barra
1682,1116,2019-01-07,25,Tênis Linho,2,294,588,Shopping Barra
1690,1121,2019-01-07,25,Meia,3,30,90,Shopping Barra
1737,1152,2019-01-08,25,Polo Listrado,4,149,596,Shopping Barra
1766,1173,2019-01-08,25,Terno Xadrez,1,709,709,Shopping Barra
1767,1173,2019-01-08,25,Sunga Linho,2,149,298,Shopping Barra
1834,1226,2019-01-08,25,Polo Estampa,3,138,414,Shopping Barra
1897,1276,2019-01-08,25,Cueca Linho,3,93,279,Shopping Barra
1898,1276,2019-01-08,25,Cinto Listrado,1,214,214,Shopping Barra
1899,1276,2019-01-08,25,Cueca Estampa,1,66,66,Shopping Barra
1942,1305,2019-01-08,25,Calça Estampa,1,177,177,Shopping Barra
1943,1306,2019-01-08,25,Camiseta Linho,1,223,223,Shopping Barra
1951,1310,2019-01-08,25,Casaco Linho,1,299,299,Shopping Barra
2003,1335,2019-01-09,25,Relógio Listrado,1,218,218,Shopping Barra
2004,1335,2019-01-09,25,Calça,2,170,340,Shopping Barra
2028,1349,2019-01-09,25,Calça,1,170,170,Shopping Barra
2029,1349,2019-01-09,25,Relógio Linho,1,240,240,Shopping Barra
2071,1373,2019-01-09,25,Gorro Liso,2,92,184,Shopping Barra
2072,1373,2019-01-09,25,Meia Estampa,3,50,150,Shopping Barra
2073,1373,2019-01-09,25,Relógio Listrado,2,218,436,Shopping Barra
2213,1468,2019-01-09,25,Meia,5,30,150,Shopping Barra
2214,1468,2019-01-09,25,Tênis Listrado,5,262,1310,Shopping Barra
2217,1471,2019-01-09,25,Sapato Linho,2,391,782,Shopping Barra
2281,1506,2019-01-10,25,Camiseta Estampa,1,196,196,Shopping Barra
2282,1506,2019-01-10,25,Cueca Estampa,2,66,132,Shopping Barra
2304,1522,2019-01-10,25,Bermuda Linho,3,195,585,Shopping Barra
2305,1522,2019-01-10,25,Pulseira Liso,2,87,174,Shopping Barra
2306,1522,2019-01-10,25,Chinelo Liso,1,71,71,Shopping Barra
2310,1527,2019-01-10,25,Camisa Gola V Listrado,1,116,116,Shopping Barra
2311,1527,2019-01-10,25,Cinto Listrado,5,214,1070,Shopping Barra
2438,1608,2019-01-10,25,Sapato Liso,2,368,736,Shopping Barra
2439,1608,2019-01-10,25,Sunga Listrado,2,114,228,Shopping Barra
2484,1637,2019-01-10,25,Camisa Gola V Estampa,1,118,118,Shopping Barra
2485,1637,2019-01-10,25,Bermuda Listrado,2,163,326,Shopping Barra
2486,1638,2019-01-10,25,Short Xadrez,2,100,200,Shopping Barra
2487,1638,2019-01-10,25,Short Xadrez,4,100,400,Shopping Barra
2488,1638,2019-01-10,25,Meia Linho,1,78,78,Shopping Barra
2498,1642,2019-01-10,25,Cinto Liso,3,209,627,Shopping Barra
2499,1642,2019-01-10,25,Relógio Listrado,2,218,436,Shopping Barra
2532,1664,2019-01-10,25,Mochila,2,270,540,Shopping Barra
2533,1664,2019-01-10,25,Short Linho,1,133,133,Shopping Barra
2540,1673,2019-01-10,25,Calça Xadrez,4,185,740,Shopping Barra
