,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
25,20,2019-01-02,6,Mochila Liso,1,276,276,Shopping Center Interlagos
145,112,2019-01-02,6,Calça Listrado,2,181,362,Shopping Center Interlagos
146,112,2019-01-02,6,Camisa Gola V Linho,2,145,290,Shopping Center Interlagos
179,135,2019-01-02,6,Mochila Xadrez,3,283,849,Shopping Center Interlagos
180,135,2019-01-02,6,Camisa Estampa,1,113,113,Shopping Center Interlagos
181,135,2019-01-02,6,Relógio Linho,2,240,480,Shopping Center Interlagos
204,148,2019-01-02,6,Cinto Xadrez,1,215,215,Shopping Center Interlagos
205,148,2019-01-02,6,Calça Liso,1,190,190,Shopping Center Interlagos
206,148,2019-01-02,6,Camiseta,2,180,360,Shopping Center Interlagos
224,160,2019-01-02,6,Pulseira Estampa,2,87,174,Shopping Center Interlagos
225,160,2019-01-02,6,Sapato Listrado,1,363,363,Shopping Center Interlagos
229,164,2019-01-02,6,Polo Liso,2,137,274,Shopping Center Interlagos
261,189,2019-01-02,6,Camisa Gola V Estampa,3,118,354,Shopping Center Interlagos
262,189,2019-01-02,6,Bermuda Xadrez,2,155,310,Shopping Center Interlagos
263,189,2019-01-02,6,Bermuda Linho,4,195,780,Shopping Center Interlagos
444,315,2019-01-03,6,Sapato Estampa,1,358,358,Shopping Center Interlagos
445,315,2019-01-03,6,Camiseta Liso,1,187,187,Shopping Center Interlagos
446,315,2019-01-03,6,Mochila,1,270,270,Shopping Center Interlagos
447,315,2019-01-03,6,Meia Estampa,1,50,50,Shopping Center Interlagos
481,335,2019-01-03,6,Tênis,1,250,250,Shopping Center Interlagos
482,335,2019-01-03,6,Bermuda Estampa,1,169,169,Shopping Center Interlagos
490,343,2019-01-03,6,Cinto Listrado,2,214,428,Shopping Center Interlagos
586,400,2019-01-04,6,Tênis Estampa,3,256,768,Shopping Center Interlagos
587,400,2019-01-04,6,Casaco Liso,1,255,255,Shopping Center Interlagos
612,420,2019-01-04,6,Relógio Listrado,2,218,436,Shopping Center Interlagos
613,420,2019-01-04,6,Terno Estampa,2,706,1412,Shopping Center Interlagos
614,420,2019-01-04,6,Chinelo Liso,5,71,355,Shopping Center Interlagos
615,420,2019-01-04,6,Camisa Gola V Linho,1,145,145,Shopping Center Interlagos
675,455,2019-01-04,6,Terno Liso,4,720,2880,Shopping Center Interlagos
700,471,2019-01-04,6,Cueca Listrado,2,67,134,Shopping Center Interlagos
873,583,2019-01-05,6,Camisa Linho,2,141,282,Shopping Center Interlagos
915,607,2019-01-05,6,Meia Linho,5,78,390,Shopping Center Interlagos
972,650,2019-01-05,6,Casaco Listrado,2,269,538,Shopping Center Interlagos
973,650,2019-01-05,6,Camiseta,3,180,540,Shopping Center Interlagos
1146,760,2019-01-06,6,Calça Liso,2,190,380,Shopping Center Interlagos
1168,775,2019-01-06,6,Mochila,1,270,270,Shopping Center Interlagos
1169,775,2019-01-06,6,Bermuda Linho,2,195,390,Shopping Center Interlagos
1231,827,2019-01-06,6,Camiseta Listrado,2,197,394,Shopping Center Interlagos
1234,829,2019-01-06,6,Cueca Liso,1,69,69,Shopping Center Interlagos
1325,885,2019-01-06,6,Camisa Gola V Liso,3,118,354,Shopping Center Interlagos
1334,891,2019-01-06,6,Camisa Xadrez,5,105,525,Shopping Center Interlagos
1346,902,2019-01-06,6,Cinto Linho,1,248,248,Shopping Center Interlagos
1347,902,2019-01-06,6,Camiseta Xadrez,1,200,200,Shopping Center Interlagos
1375,919,2019-01-06,6,Pulseira Linho,4,114,456,Shopping Center Interlagos
1376,919,2019-01-06,6,Polo,1,130,130,Shopping Center Interlagos
1377,919,2019-01-06,6,Meia Liso,1,38,38,Shopping Center Interlagos
1457,968,2019-01-07,6,Pulseira Xadrez,1,87,87,Shopping Center Interlagos
1458,968,2019-01-07,6,Polo Xadrez,1,142,142,Shopping Center Interlagos
1516,1010,2019-01-07,6,Cinto Estampa,1,209,209,Shopping Center Interlagos
1529,1016,2019-01-07,6,Pulseira Xadrez,2,87,174,Shopping Center Interlagos
1530,1016,2019-01-07,6,Relógio,2,200,400,Shopping Center Interlagos
1531,1017,2019-01-07,6,Chinelo Estampa,2,74,148,Shopping Center Interlagos
1574,1043,2019-01-07,6,Polo Estampa,1,138,138,Shopping Center Interlagos
1575,1043,2019-01-07,6,Polo Liso,2,137,274,Shopping Center Interlagos
1578,1045,2019-01-07,6,Camisa Gola V Liso,2,118,236,Shopping Center Interlagos
1579,1045,2019-01-07,6,Sapato,5,350,1750,Shopping Center Interlagos
1619,1072,2019-01-07,6,Sapato Estampa,5,358,1790,Shopping Center Interlagos
1620,1072,2019-01-07,6,Bermuda Estampa,1,169,169,Shopping Center Interlagos
1631,1080,2019-01-07,6,Relógio Estampa,1,219,219,Shopping Center Interlagos
1632,1080,2019-01-07,6,Sunga Liso,1,114,114,Shopping Center Interlagos
1668,1106,2019-01-07,6,Mochila Listrado,2,275,550,Shopping Center Interlagos
