,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
11,9,2019-01-02,10,Tênis Linho,1,294,294,Shopping Center Leste Aricanduva
12,9,2019-01-02,10,Casaco Xadrez,2,259,518,Shopping Center Leste Aricanduva
35,29,2019-01-02,10,Gorro Liso,4,92,368,Shopping Center Leste Aricanduva
92,70,2019-01-02,10,Gorro Linho,2,124,248,Shopping Center Leste Aricanduva
93,70,2019-01-02,10,Cueca Xadrez,1,60,60,Shopping Center Leste Aricanduva
94,70,2019-01-02,10,Bermuda Listrado,1,163,163,Shopping Center Leste Aricanduva
95,70,2019-01-02,10,Terno Linho,2,750,1500,Shopping Center Leste Aricanduva
117,91,2019-01-02,10,Calça Xadrez,1,185,185,Shopping Center Leste Aricanduva
157,119,2019-01-02,10,Calça Linho,2,211,422,Shopping Center Leste Aricanduva
161,124,2019-01-02,10,Short Estampa,2,96,192,Shopping Center Leste Aricanduva
162,124,2019-01-02,10,Gorro Estampa,5,93,465,Shopping Center Leste Aricanduva
163,124,2019-01-02,10,Cueca Estampa,1,66,66,Shopping Center Leste Aricanduva
164,124,2019-01-02,10,Meia Linho,4,78,312,Shopping Center Leste Aricanduva
328,233,2019-01-03,10,Camisa Xadrez,2,105,210,Shopping Center Leste Aricanduva
329,233,2019-01-03,10,Camisa Gola V Estampa,1,118,118,Shopping Center Leste Aricanduva
330,233,2019-01-03,10,Cueca Estampa,3,66,198,Shopping Center Leste Aricanduva
357,256,2019-01-03,10,Camisa Listrado,2,108,216,Shopping Center Leste Aricanduva
473,332,2019-01-03,10,Cueca Linho,4,93,372,Shopping Center Leste Aricanduva
474,332,2019-01-03,10,Relógio Liso,3,216,648,Shopping Center Leste Aricanduva
475,332,2019-01-03,10,Chinelo Xadrez,2,66,132,Shopping Center Leste Aricanduva
494,348,2019-01-03,10,Casaco Linho,1,299,299,Shopping Center Leste Aricanduva
495,348,2019-01-03,10,Mochila,2,270,540,Shopping Center Leste Aricanduva
496,348,2019-01-03,10,Meia Listrado,4,37,148,Shopping Center Leste Aricanduva
531,366,2019-01-03,10,Sapato,1,350,350,Shopping Center Leste Aricanduva
673,453,2019-01-04,10,Tênis Liso,3,266,798,Shopping Center Leste Aricanduva
704,474,2019-01-04,10,Tênis,1,250,250,Shopping Center Leste Aricanduva
706,476,2019-01-04,10,Sapato Xadrez,1,368,368,Shopping Center Leste Aricanduva
707,476,2019-01-04,10,Terno Listrado,1,709,709,Shopping Center Leste Aricanduva
708,476,2019-01-04,10,Cinto Listrado,2,214,428,Shopping Center Leste Aricanduva
709,476,2019-01-04,10,Short Xadrez,2,100,200,Shopping Center Leste Aricanduva
726,490,2019-01-04,10,Gorro,2,80,160,Shopping Center Leste Aricanduva
727,490,2019-01-04,10,Meia Estampa,1,50,50,Shopping Center Leste Aricanduva
728,490,2019-01-04,10,Bermuda,4,150,600,Shopping Center Leste Aricanduva
783,525,2019-01-04,10,Polo Listrado,3,149,447,Shopping Center Leste Aricanduva
784,525,2019-01-04,10,Chinelo,1,60,60,Shopping Center Leste Aricanduva
785,525,2019-01-04,10,Meia Xadrez,5,41,205,Shopping Center Leste Aricanduva
786,526,2019-01-04,10,Relógio Linho,1,240,240,Shopping Center Leste Aricanduva
824,552,2019-01-04,10,Tênis Listrado,3,262,786,Shopping Center Leste Aricanduva
968,647,2019-01-05,10,Camisa Linho,2,141,282,Shopping Center Leste Aricanduva
969,647,2019-01-05,10,Calça Liso,1,190,190,Shopping Center Leste Aricanduva
1035,693,2019-01-05,10,Polo Estampa,3,138,414,Shopping Center Leste Aricanduva
1036,693,2019-01-05,10,Short,2,90,180,Shopping Center Leste Aricanduva
1057,708,2019-01-05,10,Cueca Estampa,5,66,330,Shopping Center Leste Aricanduva
1058,708,2019-01-05,10,Pulseira Estampa,1,87,87,Shopping Center Leste Aricanduva
