,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
36,31,2019-01-02,21,Casaco Estampa,3,256,768,Shopping Eldorado
37,31,2019-01-02,21,Pulseira,3,70,210,Shopping Eldorado
38,31,2019-01-02,21,Gorro Linho,1,124,124,Shopping Eldorado
39,31,2019-01-02,21,Cinto Linho,3,248,744,Shopping Eldorado
51,40,2019-01-02,21,Bermuda Linho,1,195,195,Shopping Eldorado
52,40,2019-01-02,21,Chinelo Estampa,1,74,74,Shopping Eldorado
56,43,2019-01-02,21,Sunga Linho,1,149,149,Shopping Eldorado
57,43,2019-01-02,21,Calça,1,170,170,Shopping Eldorado
75,58,2019-01-02,21,Cinto Liso,2,209,418,Shopping Eldorado
116,89,2019-01-02,21,Gorro Liso,1,92,92,Shopping Eldorado
148,114,2019-01-02,21,Camiseta Linho,2,223,446,Shopping Eldorado
197,146,2019-01-02,21,Pulseira Estampa,2,87,174,Shopping Eldorado
198,146,2019-01-02,21,Casaco Xadrez,2,259,518,Shopping Eldorado
199,146,2019-01-02,21,Cinto,1,200,200,Shopping Eldorado
200,146,2019-01-02,21,Sapato Xadrez,4,368,1472,Shopping Eldorado
215,154,2019-01-02,21,Terno Liso,1,720,720,Shopping Eldorado
216,154,2019-01-02,21,Tênis Liso,1,266,266,Shopping Eldorado
238,171,2019-01-02,21,Mochila Linho,2,311,622,Shopping Eldorado
279,202,2019-01-02,21,Tênis Listrado,3,262,786,Shopping Eldorado
280,202,2019-01-02,21,Camisa Gola V,2,100,200,Shopping Eldorado
281,202,2019-01-02,21,Cinto Linho,1,248,248,Shopping Eldorado
331,235,2019-01-03,21,Mochila Xadrez,2,283,566,Shopping Eldorado
416,294,2019-01-03,21,Casaco Estampa,2,256,512,Shopping Eldorado
417,294,2019-01-03,21,Gorro Estampa,1,93,93,Shopping Eldorado
457,322,2019-01-03,21,Mochila,1,270,270,Shopping Eldorado
470,330,2019-01-03,21,Bermuda Xadrez,3,155,465,Shopping Eldorado
471,330,2019-01-03,21,Short Linho,1,133,133,Shopping Eldorado
645,436,2019-01-04,21,Relógio Linho,3,240,720,Shopping Eldorado
646,436,2019-01-04,21,Camiseta Estampa,2,196,392,Shopping Eldorado
772,520,2019-01-04,21,Camisa Gola V Listrado,4,116,464,Shopping Eldorado
773,520,2019-01-04,21,Polo Estampa,2,138,276,Shopping Eldorado
774,520,2019-01-04,21,Tênis Xadrez,2,259,518,Shopping Eldorado
821,550,2019-01-04,21,Pulseira Liso,1,87,87,Shopping Eldorado
822,550,2019-01-04,21,Camisa Linho,2,141,282,Shopping Eldorado
835,560,2019-01-04,21,Mochila Xadrez,1,283,283,Shopping Eldorado
836,560,2019-01-04,21,Pulseira Listrado,3,79,237,Shopping Eldorado
852,570,2019-01-05,21,Chinelo Xadrez,1,66,66,Shopping Eldorado
868,579,2019-01-05,21,Polo Estampa,2,138,276,Shopping Eldorado
869,579,2019-01-05,21,Gorro,3,80,240,Shopping Eldorado
878,587,2019-01-05,21,Camisa Estampa,5,113,565,Shopping Eldorado
879,587,2019-01-05,21,Relógio,2,200,400,Shopping Eldorado
880,587,2019-01-05,21,Calça,1,170,170,Shopping Eldorado
885,590,2019-01-05,21,Casaco Linho,5,299,1495,Shopping Eldorado
886,590,2019-01-05,21,Sapato Liso,1,368,368,Shopping Eldorado
906,602,2019-01-05,21,Mochila Estampa,3,277,831,Shopping Eldorado
907,602,2019-01-05,21,Terno Listrado,1,709,709,Shopping Eldorado
932,625,2019-01-05,21,Casaco Linho,5,299,1495,Shopping Eldorado
933,625,2019-01-05,21,Sunga Listrado,2,114,228,Shopping Eldorado
941,629,2019-01-05,21,Camiseta Xadrez,1,200,200,Shopping Eldorado
942,629,2019-01-05,21,Tênis,1,250,250,Shopping Eldorado
956,639,2019-01-05,21,Mochila Estampa,1,277,277,Shopping Eldorado
1180,786,2019-01-06,21,Tênis Linho,1,294,294,Shopping Eldorado
1187,792,2019-01-06,21,Calça,3,170,510,Shopping Eldorado
1214,815,2019-01-06,21,Chinelo Estampa,1,74,74,Shopping Eldorado
1218,819,2019-01-06,21,Bermuda Xadrez,2,155,310,Shopping Eldorado
1219,819,2019-01-06,21,Mochila Xadrez,1,283,283,Shopping Eldorado
