,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
7,6,2019-01-02,22,Polo Listrado,4,149,596,Shopping Ibirapuera
58,44,2019-01-02,22,Calça,2,170,340,Shopping Ibirapuera
59,44,2019-01-02,22,Camisa Listrado,1,108,108,Shopping Ibirapuera
60,44,2019-01-02,22,Camisa Liso,2,105,210,Shopping Ibirapuera
90,69,2019-01-02,22,Meia Xadrez,1,41,41,Shopping Ibirapuera
91,69,2019-01-02,22,Gorro Listrado,3,97,291,Shopping Ibirapuera
219,158,2019-01-02,22,Cueca Listrado,2,67,134,Shopping Ibirapuera
220,158,2019-01-02,22,Calça Linho,1,211,211,Shopping Ibirapuera
234,169,2019-01-02,22,Short Listrado,2,102,204,Shopping Ibirapuera
235,169,2019-01-02,22,Sapato Estampa,5,358,1790,Shopping Ibirapuera
236,169,2019-01-02,22,Meia Liso,1,38,38,Shopping Ibirapuera
335,239,2019-01-03,22,Chinelo,1,60,60,Shopping Ibirapuera
336,239,2019-01-03,22,Polo Estampa,3,138,414,Shopping Ibirapuera
395,278,2019-01-03,22,Gorro Xadrez,3,85,255,Shopping Ibirapuera
396,278,2019-01-03,22,Camisa Gola V Listrado,2,116,232,Shopping Ibirapuera
454,320,2019-01-03,22,Casaco Liso,1,255,255,Shopping Ibirapuera
455,320,2019-01-03,22,Cinto Liso,2,209,418,Shopping Ibirapuera
456,320,2019-01-03,22,Bermuda Xadrez,1,155,155,Shopping Ibirapuera
463,326,2019-01-03,22,Terno,2,700,1400,Shopping Ibirapuera
464,326,2019-01-03,22,Gorro,2,80,160,Shopping Ibirapuera
479,334,2019-01-03,22,Camiseta Listrado,3,197,591,Shopping Ibirapuera
480,334,2019-01-03,22,Gorro Liso,4,92,368,Shopping Ibirapuera
491,344,2019-01-03,22,Bermuda,1,150,150,Shopping Ibirapuera
499,351,2019-01-03,22,Meia Estampa,4,50,200,Shopping Ibirapuera
563,391,2019-01-03,22,Terno Linho,2,750,1500,Shopping Ibirapuera
564,391,2019-01-03,22,Camisa Estampa,1,113,113,Shopping Ibirapuera
565,391,2019-01-03,22,Calça Estampa,2,177,354,Shopping Ibirapuera
566,391,2019-01-03,22,Mochila Listrado,2,275,550,Shopping Ibirapuera
567,391,2019-01-03,22,Sunga Linho,1,149,149,Shopping Ibirapuera
568,391,2019-01-03,22,Polo Xadrez,1,142,142,Shopping Ibirapuera
610,419,2019-01-04,22,Chinelo Liso,4,71,284,Shopping Ibirapuera
611,419,2019-01-04,22,Polo Listrado,1,149,149,Shopping Ibirapuera
634,433,2019-01-04,22,Camisa Gola V Listrado,1,116,116,Shopping Ibirapuera
635,433,2019-01-04,22,Camisa Xadrez,3,105,315,Shopping Ibirapuera
636,433,2019-01-04,22,Mochila Liso,1,276,276,Shopping Ibirapuera
637,433,2019-01-04,22,Sapato Estampa,1,358,358,Shopping Ibirapuera
686,463,2019-01-04,22,Sapato Linho,1,391,391,Shopping Ibirapuera
699,470,2019-01-04,22,Sapato Listrado,2,363,726,Shopping Ibirapuera
732,495,2019-01-04,22,Short Estampa,2,96,192,Shopping Ibirapuera
737,497,2019-01-04,22,Relógio Liso,2,216,432,Shopping Ibirapuera
831,558,2019-01-04,22,Relógio Linho,2,240,480,Shopping Ibirapuera
832,558,2019-01-04,22,Short Liso,1,108,108,Shopping Ibirapuera
833,558,2019-01-04,22,Mochila Estampa,3,277,831,Shopping Ibirapuera
856,573,2019-01-05,22,Relógio Listrado,1,218,218,Shopping Ibirapuera
909,604,2019-01-05,22,Chinelo,2,60,120,Shopping Ibirapuera
929,621,2019-01-05,22,Bermuda Liso,1,157,157,Shopping Ibirapuera
1011,674,2019-01-05,22,Tênis Linho,2,294,588,Shopping Ibirapuera
1026,686,2019-01-05,22,Camisa Listrado,3,108,324,Shopping Ibirapuera
1188,794,2019-01-06,22,Terno Listrado,3,709,2127,Shopping Ibirapuera
1189,794,2019-01-06,22,Camisa Liso,3,105,315,Shopping Ibirapuera
1284,854,2019-01-06,22,Pulseira,2,70,140,Shopping Ibirapuera
1285,854,2019-01-06,22,Mochila Estampa,1,277,277,Shopping Ibirapuera
1289,858,2019-01-06,22,Mochila Listrado,2,275,550,Shopping Ibirapuera
1326,886,2019-01-06,22,Sapato Liso,3,368,1104,Shopping Ibirapuera
1363,911,2019-01-06,22,Camisa Gola V Listrado,2,116,232,Shopping Ibirapuera
1364,911,2019-01-06,22,Camisa Liso,5,105,525,Shopping Ibirapuera
1365,911,2019-01-06,22,Cinto,4,200,800,Shopping Ibirapuera
