,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
96,71,2019-01-02,4,Relógio,4,200,800,Shopping Iguatemi Fortaleza
97,71,2019-01-02,4,Relógio Listrado,4,218,872,Shopping Iguatemi Fortaleza
144,111,2019-01-02,4,Cueca Liso,2,69,138,Shopping Iguatemi Fortaleza
260,187,2019-01-02,4,Short Liso,2,108,216,Shopping Iguatemi Fortaleza
344,248,2019-01-03,4,Pulseira Liso,2,87,174,Shopping Iguatemi Fortaleza
345,248,2019-01-03,4,Calça Estampa,1,177,177,Shopping Iguatemi Fortaleza
349,253,2019-01-03,4,Tênis Listrado,2,262,524,Shopping Iguatemi Fortaleza
350,253,2019-01-03,4,Cueca Estampa,1,66,66,Shopping Iguatemi Fortaleza
368,260,2019-01-03,4,Cueca,4,50,200,Shopping Iguatemi Fortaleza
437,309,2019-01-03,4,Casaco Liso,1,255,255,Shopping Iguatemi Fortaleza
438,309,2019-01-03,4,Camisa Listrado,2,108,216,Shopping Iguatemi Fortaleza
579,397,2019-01-04,4,Camisa,2,100,200,Shopping Iguatemi Fortaleza
592,406,2019-01-04,4,Gorro Liso,1,92,92,Shopping Iguatemi Fortaleza
593,406,2019-01-04,4,Mochila Estampa,2,277,554,Shopping Iguatemi Fortaleza
687,465,2019-01-04,4,Terno Liso,2,720,1440,Shopping Iguatemi Fortaleza
688,465,2019-01-04,4,Sapato,2,350,700,Shopping Iguatemi Fortaleza
689,465,2019-01-04,4,Sapato Estampa,2,358,716,Shopping Iguatemi Fortaleza
710,477,2019-01-04,4,Mochila Estampa,2,277,554,Shopping Iguatemi Fortaleza
711,477,2019-01-04,4,Mochila Xadrez,2,283,566,Shopping Iguatemi Fortaleza
753,507,2019-01-04,4,Sunga Listrado,3,114,342,Shopping Iguatemi Fortaleza
816,547,2019-01-04,4,Cinto Listrado,3,214,642,Shopping Iguatemi Fortaleza
819,549,2019-01-04,4,Sapato,5,350,1750,Shopping Iguatemi Fortaleza
820,549,2019-01-04,4,Terno,1,700,700,Shopping Iguatemi Fortaleza
864,576,2019-01-05,4,Calça Linho,1,211,211,Shopping Iguatemi Fortaleza
876,586,2019-01-05,4,Pulseira Xadrez,2,87,174,Shopping Iguatemi Fortaleza
877,586,2019-01-05,4,Sunga Linho,1,149,149,Shopping Iguatemi Fortaleza
927,619,2019-01-05,4,Camisa Gola V Linho,1,145,145,Shopping Iguatemi Fortaleza
970,649,2019-01-05,4,Casaco Xadrez,2,259,518,Shopping Iguatemi Fortaleza
