,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
18,12,2019-01-02,2,Short Xadrez,4,100,400,Shopping Midway Mall
19,12,2019-01-02,2,Sunga Liso,2,114,228,Shopping Midway Mall
42,33,2019-01-02,2,Camisa,1,100,100,Shopping Midway Mall
43,33,2019-01-02,2,Meia Xadrez,3,41,123,Shopping Midway Mall
66,48,2019-01-02,2,Cueca Linho,2,93,186,Shopping Midway Mall
133,104,2019-01-02,2,Camisa,1,100,100,Shopping Midway Mall
154,118,2019-01-02,2,Sunga Listrado,2,114,228,Shopping Midway Mall
155,118,2019-01-02,2,Polo Estampa,1,138,138,Shopping Midway Mall
156,118,2019-01-02,2,Tênis Linho,2,294,588,Shopping Midway Mall
158,121,2019-01-02,2,Polo Xadrez,1,142,142,Shopping Midway Mall
159,121,2019-01-02,2,Tênis Xadrez,1,259,259,Shopping Midway Mall
165,125,2019-01-02,2,Polo Listrado,1,149,149,Shopping Midway Mall
227,162,2019-01-02,2,Cinto Liso,3,209,627,Shopping Midway Mall
239,172,2019-01-02,2,Short,3,90,270,Shopping Midway Mall
240,172,2019-01-02,2,Terno Linho,4,750,3000,Shopping Midway Mall
285,207,2019-01-03,2,Tênis Xadrez,2,259,518,Shopping Midway Mall
303,217,2019-01-03,2,Calça Listrado,1,181,181,Shopping Midway Mall
434,308,2019-01-03,2,Camisa Gola V Xadrez,3,107,321,Shopping Midway Mall
435,308,2019-01-03,2,Camiseta Listrado,1,197,197,Shopping Midway Mall
436,308,2019-01-03,2,Polo Estampa,3,138,414,Shopping Midway Mall
560,388,2019-01-03,2,Tênis Listrado,5,262,1310,Shopping Midway Mall
561,388,2019-01-03,2,Short Xadrez,2,100,200,Shopping Midway Mall
632,432,2019-01-04,2,Terno Estampa,1,706,706,Shopping Midway Mall
633,432,2019-01-04,2,Polo Xadrez,1,142,142,Shopping Midway Mall
659,446,2019-01-04,2,Sapato Xadrez,4,368,1472,Shopping Midway Mall
768,515,2019-01-04,2,Terno Estampa,5,706,3530,Shopping Midway Mall
769,515,2019-01-04,2,Tênis Linho,1,294,294,Shopping Midway Mall
790,529,2019-01-04,2,Sapato Liso,2,368,736,Shopping Midway Mall
791,529,2019-01-04,2,Terno Xadrez,2,709,1418,Shopping Midway Mall
792,529,2019-01-04,2,Mochila Listrado,1,275,275,Shopping Midway Mall
807,541,2019-01-04,2,Camisa,1,100,100,Shopping Midway Mall
808,541,2019-01-04,2,Meia,5,30,150,Shopping Midway Mall
809,541,2019-01-04,2,Polo Linho,5,176,880,Shopping Midway Mall
810,541,2019-01-04,2,Polo Listrado,2,149,298,Shopping Midway Mall
811,541,2019-01-04,2,Chinelo Estampa,1,74,74,Shopping Midway Mall
812,541,2019-01-04,2,Sunga Listrado,1,114,114,Shopping Midway Mall
959,642,2019-01-05,2,Gorro Liso,5,92,460,Shopping Midway Mall
960,642,2019-01-05,2,Terno Estampa,2,706,1412,Shopping Midway Mall
1108,733,2019-01-05,2,Relógio,4,200,800,Shopping Midway Mall
1308,872,2019-01-06,2,Camisa,2,100,200,Shopping Midway Mall
1309,872,2019-01-06,2,Polo Xadrez,2,142,284,Shopping Midway Mall
1310,872,2019-01-06,2,Relógio Liso,1,216,216,Shopping Midway Mall
1472,977,2019-01-07,2,Polo Liso,2,137,274,Shopping Midway Mall
1473,977,2019-01-07,2,Camiseta Listrado,4,197,788,Shopping Midway Mall
1480,982,2019-01-07,2,Cueca Liso,2,69,138,Shopping Midway Mall
1503,1001,2019-01-07,2,Sapato Linho,2,391,782,Shopping Midway Mall
1542,1027,2019-01-07,2,Gorro Xadrez,4,85,340,Shopping Midway Mall
1543,1027,2019-01-07,2,Chinelo Estampa,2,74,148,Shopping Midway Mall
1544,1028,2019-01-07,2,Cueca,2,50,100,Shopping Midway Mall
1545,1028,2019-01-07,2,Cinto,2,200,400,Shopping Midway Mall
1553,1032,2019-01-07,2,Pulseira Estampa,2,87,174,Shopping Midway Mall
1563,1036,2019-01-07,2,Cueca Estampa,2,66,132,Shopping Midway Mall
