,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
98,72,2019-01-02,12,Gorro Estampa,2,93,186,Shopping Morumbi
99,72,2019-01-02,12,Sapato Xadrez,4,368,1472,Shopping Morumbi
102,75,2019-01-02,12,Sapato Xadrez,2,368,736,Shopping Morumbi
103,75,2019-01-02,12,Cueca,2,50,100,Shopping Morumbi
114,88,2019-01-02,12,Gorro Listrado,1,97,97,Shopping Morumbi
115,88,2019-01-02,12,Meia Liso,3,38,114,Shopping Morumbi
121,95,2019-01-02,12,Sunga Listrado,2,114,228,Shopping Morumbi
212,153,2019-01-02,12,Tênis Estampa,1,256,256,Shopping Morumbi
213,153,2019-01-02,12,Chinelo Linho,2,105,210,Shopping Morumbi
214,153,2019-01-02,12,Mochila Liso,1,276,276,Shopping Morumbi
245,178,2019-01-02,12,Chinelo Estampa,5,74,370,Shopping Morumbi
246,178,2019-01-02,12,Terno Liso,2,720,1440,Shopping Morumbi
247,178,2019-01-02,12,Camisa Liso,2,105,210,Shopping Morumbi
248,178,2019-01-02,12,Meia Xadrez,3,41,123,Shopping Morumbi
249,178,2019-01-02,12,Sunga,1,100,100,Shopping Morumbi
287,209,2019-01-03,12,Pulseira,2,70,140,Shopping Morumbi
288,209,2019-01-03,12,Camisa Gola V Estampa,1,118,118,Shopping Morumbi
293,211,2019-01-03,12,Polo Liso,1,137,137,Shopping Morumbi
294,211,2019-01-03,12,Tênis,2,250,500,Shopping Morumbi
295,211,2019-01-03,12,Cinto Liso,2,209,418,Shopping Morumbi
300,213,2019-01-03,12,Mochila Linho,2,311,622,Shopping Morumbi
325,232,2019-01-03,12,Cinto Liso,3,209,627,Shopping Morumbi
326,232,2019-01-03,12,Camisa Gola V,4,100,400,Shopping Morumbi
327,232,2019-01-03,12,Calça Listrado,1,181,181,Shopping Morumbi
332,236,2019-01-03,12,Pulseira Xadrez,3,87,261,Shopping Morumbi
517,362,2019-01-03,12,Mochila Listrado,2,275,550,Shopping Morumbi
537,371,2019-01-03,12,Sunga,2,100,200,Shopping Morumbi
538,371,2019-01-03,12,Tênis,2,250,500,Shopping Morumbi
548,381,2019-01-03,12,Camiseta Linho,2,223,446,Shopping Morumbi
549,381,2019-01-03,12,Sunga Linho,1,149,149,Shopping Morumbi
550,381,2019-01-03,12,Meia Listrado,2,37,74,Shopping Morumbi
553,383,2019-01-03,12,Short,2,90,180,Shopping Morumbi
606,412,2019-01-04,12,Terno Liso,1,720,720,Shopping Morumbi
779,523,2019-01-04,12,Casaco Liso,4,255,1020,Shopping Morumbi
780,523,2019-01-04,12,Sunga Liso,1,114,114,Shopping Morumbi
860,575,2019-01-05,12,Chinelo Liso,1,71,71,Shopping Morumbi
861,575,2019-01-05,12,Short,1,90,90,Shopping Morumbi
862,575,2019-01-05,12,Terno Linho,2,750,1500,Shopping Morumbi
863,575,2019-01-05,12,Camisa Gola V Estampa,4,118,472,Shopping Morumbi
890,594,2019-01-05,12,Polo Estampa,3,138,414,Shopping Morumbi
891,594,2019-01-05,12,Meia Xadrez,3,41,123,Shopping Morumbi
900,599,2019-01-05,12,Calça Estampa,1,177,177,Shopping Morumbi
912,606,2019-01-05,12,Meia Xadrez,2,41,82,Shopping Morumbi
913,606,2019-01-05,12,Gorro Linho,5,124,620,Shopping Morumbi
914,606,2019-01-05,12,Short Xadrez,1,100,100,Shopping Morumbi
924,615,2019-01-05,12,Tênis Linho,2,294,588,Shopping Morumbi
925,615,2019-01-05,12,Mochila Listrado,1,275,275,Shopping Morumbi
978,652,2019-01-05,12,Calça Liso,1,190,190,Shopping Morumbi
979,654,2019-01-05,12,Calça Linho,5,211,1055,Shopping Morumbi
980,654,2019-01-05,12,Camiseta Linho,1,223,223,Shopping Morumbi
1095,727,2019-01-05,12,Cinto Estampa,5,209,1045,Shopping Morumbi
1096,727,2019-01-05,12,Sunga,2,100,200,Shopping Morumbi
1097,727,2019-01-05,12,Chinelo Linho,2,105,210,Shopping Morumbi
1098,727,2019-01-05,12,Pulseira Estampa,1,87,87,Shopping Morumbi
1203,804,2019-01-06,12,Terno Estampa,1,706,706,Shopping Morumbi
1210,811,2019-01-06,12,Polo Linho,5,176,880,Shopping Morumbi
1211,811,2019-01-06,12,Terno Liso,1,720,720,Shopping Morumbi
1212,813,2019-01-06,12,Sapato Liso,5,368,1840,Shopping Morumbi
1272,848,2019-01-06,12,Cueca Estampa,1,66,66,Shopping Morumbi
1273,848,2019-01-06,12,Cueca Listrado,3,67,201,Shopping Morumbi
1348,904,2019-01-06,12,Bermuda Xadrez,1,155,155,Shopping Morumbi
1349,904,2019-01-06,12,Sunga,1,100,100,Shopping Morumbi
1418,940,2019-01-07,12,Short,1,90,90,Shopping Morumbi
1453,964,2019-01-07,12,Sapato Liso,1,368,368,Shopping Morumbi
1546,1029,2019-01-07,12,Gorro Linho,1,124,124,Shopping Morumbi
1547,1029,2019-01-07,12,Pulseira Xadrez,1,87,87,Shopping Morumbi
1548,1029,2019-01-07,12,Relógio Listrado,2,218,436,Shopping Morumbi
1560,1035,2019-01-07,12,Cinto Estampa,1,209,209,Shopping Morumbi
1561,1035,2019-01-07,12,Bermuda Estampa,1,169,169,Shopping Morumbi
1562,1035,2019-01-07,12,Chinelo Xadrez,3,66,198,Shopping Morumbi
1608,1067,2019-01-07,12,Relógio Liso,1,216,216,Shopping Morumbi
1717,1136,2019-01-08,12,Short Liso,4,108,432,Shopping Morumbi
1718,1136,2019-01-08,12,Chinelo,1,60,60,Shopping Morumbi
1747,1161,2019-01-08,12,Gorro Estampa,1,93,93,Shopping Morumbi
1748,1161,2019-01-08,12,Terno Listrado,1,709,709,Shopping Morumbi
1749,1161,2019-01-08,12,Terno,4,700,2800,Shopping Morumbi
1779,1183,2019-01-08,12,Sunga Xadrez,2,116,232,Shopping Morumbi
1858,1244,2019-01-08,12,Polo Xadrez,5,142,710,Shopping Morumbi
1908,1282,2019-01-08,12,Casaco Listrado,2,269,538,Shopping Morumbi
1909,1282,2019-01-08,12,Camisa Gola V Liso,1,118,118,Shopping Morumbi
1933,1300,2019-01-08,12,Camisa Linho,1,141,141,Shopping Morumbi
1934,1300,2019-01-08,12,Meia Xadrez,2,41,82,Shopping Morumbi
1935,1300,2019-01-08,12,Short Linho,1,133,133,Shopping Morumbi
1936,1300,2019-01-08,12,Short Listrado,1,102,102,Shopping Morumbi
1952,1311,2019-01-08,12,Cueca Liso,2,69,138,Shopping Morumbi
1953,1311,2019-01-08,12,Terno Liso,1,720,720,Shopping Morumbi
1962,1317,2019-01-08,12,Cinto,3,200,600,Shopping Morumbi
1963,1317,2019-01-08,12,Camisa,1,100,100,Shopping Morumbi
1974,1322,2019-01-08,12,Mochila,2,270,540,Shopping Morumbi
1975,1322,2019-01-08,12,Tênis,4,250,1000,Shopping Morumbi
1976,1322,2019-01-08,12,Camisa Gola V Liso,1,118,118,Shopping Morumbi
1977,1322,2019-01-08,12,Relógio Listrado,1,218,218,Shopping Morumbi
1978,1322,2019-01-09,12,Tênis Estampa,1,256,256,Shopping Morumbi
1979,1322,2019-01-09,12,Cinto Listrado,1,214,214,Shopping Morumbi
1980,1322,2019-01-09,12,Chinelo Listrado,4,73,292,Shopping Morumbi
1987,1327,2019-01-09,12,Casaco Xadrez,1,259,259,Shopping Morumbi
1988,1327,2019-01-09,12,Camisa Liso,4,105,420,Shopping Morumbi
2166,1435,2019-01-09,12,Mochila,1,270,270,Shopping Morumbi
2167,1435,2019-01-09,12,Polo Xadrez,2,142,284,Shopping Morumbi
2233,1481,2019-01-09,12,Pulseira Listrado,2,79,158,Shopping Morumbi
2234,1481,2019-01-09,12,Tênis,3,250,750,Shopping Morumbi
2377,1568,2019-01-10,12,Polo Listrado,1,149,149,Shopping Morumbi
2406,1590,2019-01-10,12,Sapato Estampa,1,358,358,Shopping Morumbi
2407,1590,2019-01-10,12,Cueca,2,50,100,Shopping Morumbi
2455,1619,2019-01-10,12,Meia Xadrez,1,41,41,Shopping Morumbi
2490,1640,2019-01-10,12,Mochila Listrado,1,275,275,Shopping Morumbi
2491,1640,2019-01-10,12,Relógio Estampa,5,219,1095,Shopping Morumbi
2492,1640,2019-01-10,12,Meia,1,30,30,Shopping Morumbi
2493,1640,2019-01-10,12,Polo,1,130,130,Shopping Morumbi
2529,1663,2019-01-10,12,Sapato Xadrez,1,368,368,Shopping Morumbi
2530,1663,2019-01-10,12,Terno Xadrez,2,709,1418,Shopping Morumbi
2531,1663,2019-01-10,12,Short Linho,1,133,133,Shopping Morumbi
2542,1674,2019-01-11,12,Meia,1,30,30,Shopping Morumbi
2543,1674,2019-01-11,12,Meia Estampa,1,50,50,Shopping Morumbi
2554,1687,2019-01-11,12,Pulseira Liso,3,87,261,Shopping Morumbi
2555,1687,2019-01-11,12,Cueca,1,50,50,Shopping Morumbi
2575,1695,2019-01-11,12,Meia Listrado,1,37,37,Shopping Morumbi
2666,1760,2019-01-11,12,Camisa Listrado,2,108,216,Shopping Morumbi
2667,1760,2019-01-11,12,Pulseira Listrado,2,79,158,Shopping Morumbi
2683,1771,2019-01-11,12,Cueca,1,50,50,Shopping Morumbi
2684,1771,2019-01-11,12,Meia,5,30,150,Shopping Morumbi
2685,1771,2019-01-11,12,Cinto,1,200,200,Shopping Morumbi
2686,1771,2019-01-11,12,Bermuda Xadrez,2,155,310,Shopping Morumbi
2707,1792,2019-01-11,12,Cueca,1,50,50,Shopping Morumbi
2744,1818,2019-01-11,12,Relógio,1,200,200,Shopping Morumbi
2745,1818,2019-01-11,12,Camisa Estampa,2,113,226,Shopping Morumbi
2746,1818,2019-01-11,12,Mochila Xadrez,1,283,283,Shopping Morumbi
2789,1845,2019-01-11,12,Calça Estampa,1,177,177,Shopping Morumbi
2807,1856,2019-01-11,12,Tênis Xadrez,1,259,259,Shopping Morumbi
2808,1856,2019-01-11,12,Cinto Estampa,2,209,418,Shopping Morumbi
2930,1941,2019-01-12,12,Terno Listrado,3,709,2127,Shopping Morumbi
2970,1971,2019-01-12,12,Casaco Linho,1,299,299,Shopping Morumbi
2971,1971,2019-01-12,12,Gorro Linho,2,124,248,Shopping Morumbi
3009,2001,2019-01-12,12,Bermuda Listrado,2,163,326,Shopping Morumbi
3010,2003,2019-01-12,12,Camisa Gola V Liso,1,118,118,Shopping Morumbi
3011,2003,2019-01-12,12,Pulseira Estampa,3,87,261,Shopping Morumbi
3061,2053,2019-01-12,12,Tênis Estampa,1,256,256,Shopping Morumbi
3062,2053,2019-01-12,12,Camisa Xadrez,1,105,105,Shopping Morumbi
3063,2053,2019-01-12,12,Mochila Liso,1,276,276,Shopping Morumbi
3087,2072,2019-01-12,12,Pulseira Listrado,2,79,158,Shopping Morumbi
3102,2087,2019-01-12,12,Camiseta Liso,3,187,561,Shopping Morumbi
3103,2087,2019-01-12,12,Mochila Listrado,4,275,1100,Shopping Morumbi
3115,2095,2019-01-13,12,Cinto Estampa,5,209,1045,Shopping Morumbi
3116,2095,2019-01-13,12,Sunga Linho,2,149,298,Shopping Morumbi
3124,2106,2019-01-13,12,Cueca,2,50,100,Shopping Morumbi
3308,2229,2019-01-13,12,Camiseta Estampa,3,196,588,Shopping Morumbi
3333,2245,2019-01-13,12,Polo Liso,2,137,274,Shopping Morumbi
3446,2331,2019-01-14,12,Meia,3,30,90,Shopping Morumbi
3447,2331,2019-01-14,12,Cinto,2,200,400,Shopping Morumbi
3448,2331,2019-01-14,12,Short Estampa,2,96,192,Shopping Morumbi
3518,2377,2019-01-14,12,Cueca Listrado,1,67,67,Shopping Morumbi
3519,2377,2019-01-14,12,Casaco,1,250,250,Shopping Morumbi
3579,2418,2019-01-14,12,Gorro Liso,1,92,92,Shopping Morumbi
3593,2431,2019-01-14,12,Chinelo Linho,1,105,105,Shopping Morumbi
3594,2431,2019-01-14,12,Terno Xadrez,2,709,1418,Shopping Morumbi
3595,2431,2019-01-14,12,Sapato Xadrez,5,368,1840,Shopping Morumbi
3629,2462,2019-01-14,12,Chinelo Linho,2,105,210,Shopping Morumbi
3630,2462,2019-01-14,12,Camiseta Xadrez,1,200,200,Shopping Morumbi
3768,2561,2019-01-15,12,Chinelo Estampa,3,74,222,Shopping Morumbi
3769,2561,2019-01-15,12,Relógio Xadrez,1,214,214,Shopping Morumbi
3770,2561,2019-01-15,12,Camisa Gola V Liso,3,118,354,Shopping Morumbi
3771,2561,2019-01-15,12,Casaco,1,250,250,Shopping Morumbi
3783,2570,2019-01-15,12,Camisa Liso,1,105,105,Shopping Morumbi
3784,2571,2019-01-15,12,Pulseira,3,70,210,Shopping Morumbi
3795,2581,2019-01-15,12,Meia Listrado,1,37,37,Shopping Morumbi
3823,2603,2019-01-15,12,Meia Liso,1,38,38,Shopping Morumbi
3887,2644,2019-01-15,12,Pulseira Linho,2,114,228,Shopping Morumbi
3888,2644,2019-01-15,12,Camisa Linho,1,141,141,Shopping Morumbi
3904,2659,2019-01-15,12,Bermuda Xadrez,1,155,155,Shopping Morumbi
3905,2660,2019-01-15,12,Pulseira Xadrez,4,87,348,Shopping Morumbi
3906,2660,2019-01-15,12,Sapato Linho,2,391,782,Shopping Morumbi
3907,2660,2019-01-15,12,Relógio Liso,1,216,216,Shopping Morumbi
3926,2681,2019-01-15,12,Cueca Xadrez,2,60,120,Shopping Morumbi
3927,2681,2019-01-15,12,Bermuda Estampa,3,169,507,Shopping Morumbi
3928,2681,2019-01-15,12,Cueca Estampa,2,66,132,Shopping Morumbi
3994,2732,2019-01-16,12,Casaco Linho,2,299,598,Shopping Morumbi
3995,2732,2019-01-16,12,Chinelo Linho,2,105,210,Shopping Morumbi
3996,2732,2019-01-16,12,Short,1,90,90,Shopping Morumbi
3997,2732,2019-01-16,12,Bermuda Linho,1,195,195,Shopping Morumbi
4212,2891,2019-01-16,12,Mochila Linho,2,311,622,Shopping Morumbi
4213,2891,2019-01-16,12,Mochila Xadrez,2,283,566,Shopping Morumbi
4214,2891,2019-01-16,12,Calça Xadrez,3,185,555,Shopping Morumbi
4238,2905,2019-01-17,12,Pulseira Listrado,1,79,79,Shopping Morumbi
4239,2905,2019-01-17,12,Sunga Listrado,2,114,228,Shopping Morumbi
4240,2905,2019-01-17,12,Pulseira Linho,1,114,114,Shopping Morumbi
4272,2932,2019-01-17,12,Casaco Listrado,2,269,538,Shopping Morumbi
4303,2952,2019-01-17,12,Mochila Listrado,3,275,825,Shopping Morumbi
4413,3022,2019-01-17,12,Camiseta Liso,1,187,187,Shopping Morumbi
4510,3074,2019-01-17,12,Chinelo Linho,2,105,210,Shopping Morumbi
