,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
15,11,2019-01-02,18,Camiseta,1,180,180,Shopping Recife
16,11,2019-01-02,18,Calça Listrado,2,181,362,Shopping Recife
17,11,2019-01-02,18,Camisa Estampa,1,113,113,Shopping Recife
61,45,2019-01-02,18,Camisa Linho,1,141,141,Shopping Recife
122,96,2019-01-02,18,Meia Xadrez,1,41,41,Shopping Recife
134,105,2019-01-02,18,Calça Liso,2,190,380,Shopping Recife
135,105,2019-01-02,18,Pulseira Listrado,1,79,79,Shopping Recife
136,105,2019-01-02,18,Pulseira Listrado,3,79,237,Shopping Recife
191,142,2019-01-02,18,Short Linho,2,133,266,Shopping Recife
192,142,2019-01-02,18,Sunga Liso,4,114,456,Shopping Recife
193,142,2019-01-02,18,Terno Xadrez,2,709,1418,Shopping Recife
194,142,2019-01-02,18,Gorro Xadrez,1,85,85,Shopping Recife
253,182,2019-01-02,18,Camisa Liso,2,105,210,Shopping Recife
274,198,2019-01-02,18,Gorro Linho,1,124,124,Shopping Recife
275,198,2019-01-02,18,Chinelo Linho,4,105,420,Shopping Recife
379,265,2019-01-03,18,Bermuda Linho,1,195,195,Shopping Recife
381,269,2019-01-03,18,Meia Xadrez,2,41,82,Shopping Recife
382,269,2019-01-03,18,Cinto Liso,4,209,836,Shopping Recife
391,275,2019-01-03,18,Bermuda,2,150,300,Shopping Recife
392,275,2019-01-03,18,Cueca,2,50,100,Shopping Recife
432,306,2019-01-03,18,Chinelo Xadrez,3,66,198,Shopping Recife
433,306,2019-01-03,18,Pulseira,1,70,70,Shopping Recife
476,333,2019-01-03,18,Calça Xadrez,1,185,185,Shopping Recife
477,333,2019-01-03,18,Polo Estampa,2,138,276,Shopping Recife
478,333,2019-01-03,18,Chinelo,1,60,60,Shopping Recife
486,341,2019-01-03,18,Camiseta Estampa,1,196,196,Shopping Recife
487,341,2019-01-03,18,Gorro Liso,2,92,184,Shopping Recife
562,390,2019-01-03,18,Pulseira Xadrez,1,87,87,Shopping Recife
620,423,2019-01-04,18,Cueca Xadrez,1,60,60,Shopping Recife
621,423,2019-01-04,18,Camiseta Liso,1,187,187,Shopping Recife
718,482,2019-01-04,18,Cinto,1,200,200,Shopping Recife
834,559,2019-01-04,18,Mochila Xadrez,2,283,566,Shopping Recife
902,601,2019-01-05,18,Terno,4,700,2800,Shopping Recife
903,601,2019-01-05,18,Sunga Linho,1,149,149,Shopping Recife
904,601,2019-01-05,18,Cueca Listrado,3,67,201,Shopping Recife
905,601,2019-01-05,18,Bermuda Linho,3,195,585,Shopping Recife
916,608,2019-01-05,18,Terno Liso,1,720,720,Shopping Recife
957,640,2019-01-05,18,Camisa Estampa,1,113,113,Shopping Recife
1079,721,2019-01-05,18,Sunga,1,100,100,Shopping Recife
1080,721,2019-01-05,18,Camisa Gola V Listrado,3,116,348,Shopping Recife
1128,747,2019-01-05,18,Cinto Liso,5,209,1045,Shopping Recife
1129,747,2019-01-05,18,Chinelo,5,60,300,Shopping Recife
1130,747,2019-01-05,18,Chinelo Linho,1,105,105,Shopping Recife
1166,770,2019-01-06,18,Meia Linho,4,78,312,Shopping Recife
1238,832,2019-01-06,18,Relógio Estampa,2,219,438,Shopping Recife
1239,832,2019-01-06,18,Calça Liso,2,190,380,Shopping Recife
1338,895,2019-01-06,18,Short,2,90,180,Shopping Recife
1339,895,2019-01-06,18,Mochila Liso,2,276,552,Shopping Recife
1340,896,2019-01-06,18,Sapato Xadrez,3,368,1104,Shopping Recife
