,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
74,56,2019-01-02,20,Gorro Linho,3,124,372,Shopping SP Market
77,60,2019-01-02,20,Casaco Linho,3,299,897,Shopping SP Market
78,60,2019-01-02,20,Polo Liso,5,137,685,Shopping SP Market
89,67,2019-01-02,20,Polo Linho,3,176,528,Shopping SP Market
131,101,2019-01-02,20,Cinto Listrado,2,214,428,Shopping SP Market
132,101,2019-01-02,20,Camisa Listrado,2,108,216,Shopping SP Market
307,219,2019-01-03,20,Calça Estampa,3,177,531,Shopping SP Market
308,219,2019-01-03,20,Camiseta Xadrez,2,200,400,Shopping SP Market
309,219,2019-01-03,20,Casaco Estampa,3,256,768,Shopping SP Market
310,219,2019-01-03,20,Sapato Xadrez,2,368,736,Shopping SP Market
314,223,2019-01-03,20,Camisa Gola V,1,100,100,Shopping SP Market
369,261,2019-01-03,20,Short Listrado,2,102,204,Shopping SP Market
370,261,2019-01-03,20,Terno Listrado,2,709,1418,Shopping SP Market
422,299,2019-01-03,20,Terno Estampa,3,706,2118,Shopping SP Market
428,303,2019-01-03,20,Terno Estampa,4,706,2824,Shopping SP Market
506,356,2019-01-03,20,Sapato Xadrez,2,368,736,Shopping SP Market
507,356,2019-01-03,20,Cueca Liso,1,69,69,Shopping SP Market
544,378,2019-01-03,20,Chinelo Linho,5,105,525,Shopping SP Market
554,384,2019-01-03,20,Cinto,3,200,600,Shopping SP Market
555,384,2019-01-03,20,Sapato Estampa,2,358,716,Shopping SP Market
591,405,2019-01-04,20,Cinto Estampa,2,209,418,Shopping SP Market
743,502,2019-01-04,20,Camiseta,3,180,540,Shopping SP Market
744,502,2019-01-04,20,Calça Linho,4,211,844,Shopping SP Market
745,502,2019-01-04,20,Terno Liso,4,720,2880,Shopping SP Market
746,502,2019-01-04,20,Terno Listrado,4,709,2836,Shopping SP Market
828,557,2019-01-04,20,Sapato Xadrez,1,368,368,Shopping SP Market
829,557,2019-01-04,20,Camisa Gola V Estampa,1,118,118,Shopping SP Market
830,557,2019-01-04,20,Polo,1,130,130,Shopping SP Market
867,578,2019-01-05,20,Casaco Xadrez,1,259,259,Shopping SP Market
897,598,2019-01-05,20,Sunga,1,100,100,Shopping SP Market
898,598,2019-01-05,20,Cinto Listrado,3,214,642,Shopping SP Market
899,598,2019-01-05,20,Polo Listrado,3,149,447,Shopping SP Market
938,628,2019-01-05,20,Camisa Estampa,1,113,113,Shopping SP Market
939,628,2019-01-05,20,Meia Linho,1,78,78,Shopping SP Market
940,628,2019-01-05,20,Mochila,2,270,540,Shopping SP Market
953,637,2019-01-05,20,Camisa Linho,2,141,282,Shopping SP Market
954,637,2019-01-05,20,Meia Listrado,2,37,74,Shopping SP Market
985,657,2019-01-05,20,Sunga Linho,3,149,447,Shopping SP Market
986,657,2019-01-05,20,Gorro,5,80,400,Shopping SP Market
987,657,2019-01-05,20,Camisa Gola V Listrado,3,116,348,Shopping SP Market
1021,681,2019-01-05,20,Mochila Liso,1,276,276,Shopping SP Market
1034,691,2019-01-05,20,Cinto,1,200,200,Shopping SP Market
1088,724,2019-01-05,20,Calça,2,170,340,Shopping SP Market
1089,724,2019-01-05,20,Camisa,1,100,100,Shopping SP Market
1134,751,2019-01-06,20,Terno Listrado,2,709,1418,Shopping SP Market
1135,751,2019-01-06,20,Relógio Estampa,1,219,219,Shopping SP Market
1136,751,2019-01-06,20,Sapato Xadrez,4,368,1472,Shopping SP Market
1137,751,2019-01-06,20,Cinto Linho,2,248,496,Shopping SP Market
1138,751,2019-01-06,20,Relógio Xadrez,2,214,428,Shopping SP Market
1204,805,2019-01-06,20,Relógio Liso,2,216,432,Shopping SP Market
1225,821,2019-01-06,20,Short,5,90,450,Shopping SP Market
1226,821,2019-01-06,20,Pulseira,1,70,70,Shopping SP Market
1242,834,2019-01-06,20,Gorro Estampa,1,93,93,Shopping SP Market
1243,834,2019-01-06,20,Cinto Liso,2,209,418,Shopping SP Market
1244,834,2019-01-06,20,Polo Estampa,5,138,690,Shopping SP Market
1245,834,2019-01-06,20,Sunga Listrado,2,114,228,Shopping SP Market
1246,834,2019-01-06,20,Pulseira Listrado,1,79,79,Shopping SP Market
1276,850,2019-01-06,20,Camisa Gola V Xadrez,3,107,321,Shopping SP Market
1277,850,2019-01-06,20,Casaco Liso,1,255,255,Shopping SP Market
1371,915,2019-01-06,20,Short Linho,5,133,665,Shopping SP Market
1373,917,2019-01-06,20,Sapato Estampa,1,358,358,Shopping SP Market
1374,917,2019-01-06,20,Chinelo,1,60,60,Shopping SP Market
1378,920,2019-01-06,20,Chinelo Xadrez,2,66,132,Shopping SP Market
1383,923,2019-01-06,20,Sunga,1,100,100,Shopping SP Market
1384,923,2019-01-06,20,Tênis Linho,2,294,588,Shopping SP Market
1428,949,2019-01-07,20,Mochila Xadrez,2,283,566,Shopping SP Market
1459,969,2019-01-07,20,Polo Xadrez,3,142,426,Shopping SP Market
1460,969,2019-01-07,20,Gorro Liso,5,92,460,Shopping SP Market
1549,1030,2019-01-07,20,Tênis Listrado,1,262,262,Shopping SP Market
1550,1030,2019-01-07,20,Camisa Gola V Xadrez,3,107,321,Shopping SP Market
1592,1052,2019-01-07,20,Relógio Estampa,2,219,438,Shopping SP Market
1593,1052,2019-01-07,20,Sunga,1,100,100,Shopping SP Market
1763,1169,2019-01-08,20,Sapato Linho,2,391,782,Shopping SP Market
1764,1169,2019-01-08,20,Meia Liso,3,38,114,Shopping SP Market
1786,1187,2019-01-08,20,Cinto Liso,1,209,209,Shopping SP Market
1793,1194,2019-01-08,20,Bermuda Estampa,4,169,676,Shopping SP Market
1893,1273,2019-01-08,20,Sapato Estampa,2,358,716,Shopping SP Market
1900,1277,2019-01-08,20,Cinto,4,200,800,Shopping SP Market
1901,1277,2019-01-08,20,Sapato Listrado,1,363,363,Shopping SP Market
1902,1277,2019-01-08,20,Relógio Listrado,2,218,436,Shopping SP Market
1910,1283,2019-01-08,20,Calça Linho,3,211,633,Shopping SP Market
1911,1283,2019-01-08,20,Camisa,2,100,200,Shopping SP Market
1912,1283,2019-01-08,20,Chinelo Estampa,1,74,74,Shopping SP Market
2039,1354,2019-01-09,20,Tênis Xadrez,1,259,259,Shopping SP Market
2059,1368,2019-01-09,20,Tênis Liso,1,266,266,Shopping SP Market
2060,1368,2019-01-09,20,Cueca Listrado,1,67,67,Shopping SP Market
2074,1375,2019-01-09,20,Relógio Linho,4,240,960,Shopping SP Market
2075,1375,2019-01-09,20,Cueca Listrado,4,67,268,Shopping SP Market
2140,1415,2019-01-09,20,Camisa Gola V Liso,2,118,236,Shopping SP Market
2160,1431,2019-01-09,20,Camiseta Liso,2,187,374,Shopping SP Market
2168,1436,2019-01-09,20,Bermuda Xadrez,2,155,310,Shopping SP Market
2169,1436,2019-01-09,20,Cueca Liso,1,69,69,Shopping SP Market
2170,1436,2019-01-09,20,Mochila Linho,1,311,311,Shopping SP Market
2252,1490,2019-01-09,20,Casaco,2,250,500,Shopping SP Market
2253,1491,2019-01-09,20,Camiseta Estampa,2,196,392,Shopping SP Market
2254,1491,2019-01-09,20,Gorro Liso,2,92,184,Shopping SP Market
2289,1513,2019-01-10,20,Pulseira Xadrez,4,87,348,Shopping SP Market
2290,1513,2019-01-10,20,Casaco Liso,3,255,765,Shopping SP Market
2293,1515,2019-01-10,20,Gorro Liso,1,92,92,Shopping SP Market
2294,1515,2019-01-10,20,Terno Linho,1,750,750,Shopping SP Market
2295,1515,2019-01-10,20,Camisa Gola V Xadrez,1,107,107,Shopping SP Market
2312,1528,2019-01-10,20,Chinelo Linho,2,105,210,Shopping SP Market
2313,1528,2019-01-10,20,Cueca Estampa,2,66,132,Shopping SP Market
2368,1563,2019-01-10,20,Camisa Linho,2,141,282,Shopping SP Market
2369,1563,2019-01-10,20,Cueca Linho,3,93,279,Shopping SP Market
2391,1579,2019-01-10,20,Relógio Linho,2,240,480,Shopping SP Market
2401,1588,2019-01-10,20,Meia Listrado,4,37,148,Shopping SP Market
2402,1588,2019-01-10,20,Camisa Gola V Listrado,3,116,348,Shopping SP Market
2403,1588,2019-01-10,20,Relógio,2,200,400,Shopping SP Market
2482,1632,2019-01-10,20,Camisa Linho,2,141,282,Shopping SP Market
2552,1684,2019-01-11,20,Calça,1,170,170,Shopping SP Market
2595,1707,2019-01-11,20,Tênis Liso,3,266,798,Shopping SP Market
2596,1707,2019-01-11,20,Mochila Linho,4,311,1244,Shopping SP Market
2668,1761,2019-01-11,20,Sapato Liso,4,368,1472,Shopping SP Market
2670,1764,2019-01-11,20,Polo Estampa,2,138,276,Shopping SP Market
2676,1768,2019-01-11,20,Camisa Gola V Xadrez,1,107,107,Shopping SP Market
2712,1799,2019-01-11,20,Camisa Gola V Listrado,1,116,116,Shopping SP Market
2814,1862,2019-01-11,20,Tênis Linho,1,294,294,Shopping SP Market
2906,1929,2019-01-12,20,Cinto Xadrez,1,215,215,Shopping SP Market
2907,1929,2019-01-12,20,Short Estampa,5,96,480,Shopping SP Market
2916,1934,2019-01-12,20,Meia Listrado,4,37,148,Shopping SP Market
2917,1934,2019-01-12,20,Casaco Estampa,3,256,768,Shopping SP Market
2918,1934,2019-01-12,20,Short Xadrez,3,100,300,Shopping SP Market
2955,1954,2019-01-12,20,Pulseira Linho,3,114,342,Shopping SP Market
3128,2110,2019-01-13,20,Bermuda Xadrez,5,155,775,Shopping SP Market
3137,2118,2019-01-13,20,Terno Xadrez,2,709,1418,Shopping SP Market
3138,2118,2019-01-13,20,Bermuda Xadrez,1,155,155,Shopping SP Market
3220,2171,2019-01-13,20,Sapato Xadrez,5,368,1840,Shopping SP Market
3221,2171,2019-01-13,20,Cinto Liso,4,209,836,Shopping SP Market
3235,2179,2019-01-13,20,Calça,3,170,510,Shopping SP Market
3276,2205,2019-01-13,20,Gorro Liso,2,92,184,Shopping SP Market
3277,2205,2019-01-13,20,Camiseta Xadrez,2,200,400,Shopping SP Market
3309,2230,2019-01-13,20,Casaco Listrado,3,269,807,Shopping SP Market
3310,2230,2019-01-13,20,Terno Estampa,1,706,706,Shopping SP Market
3314,2234,2019-01-13,20,Polo,2,130,260,Shopping SP Market
3338,2247,2019-01-13,20,Pulseira Liso,1,87,87,Shopping SP Market
3369,2271,2019-01-13,20,Tênis Linho,1,294,294,Shopping SP Market
3370,2271,2019-01-13,20,Chinelo,1,60,60,Shopping SP Market
3400,2293,2019-01-14,20,Gorro Liso,3,92,276,Shopping SP Market
3546,2395,2019-01-14,20,Short Liso,1,108,108,Shopping SP Market
3547,2395,2019-01-14,20,Meia Listrado,3,37,111,Shopping SP Market
3647,2476,2019-01-14,20,Cueca,1,50,50,Shopping SP Market
3648,2476,2019-01-14,20,Short Liso,3,108,324,Shopping SP Market
3704,2515,2019-01-15,20,Meia Liso,4,38,152,Shopping SP Market
3705,2515,2019-01-15,20,Cinto Listrado,1,214,214,Shopping SP Market
3712,2522,2019-01-15,20,Relógio Linho,1,240,240,Shopping SP Market
3779,2567,2019-01-15,20,Calça Linho,5,211,1055,Shopping SP Market
