,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
32,26,2019-01-02,5,Chinelo,2,60,120,Shopping União de Osasco
55,42,2019-01-02,5,Chinelo,2,60,120,Shopping União de Osasco
71,54,2019-01-02,5,Cueca Xadrez,1,60,60,Shopping União de Osasco
72,54,2019-01-02,5,Cueca Linho,2,93,186,Shopping União de Osasco
73,54,2019-01-02,5,Meia Liso,5,38,190,Shopping União de Osasco
138,107,2019-01-02,5,Sunga Estampa,2,120,240,Shopping União de Osasco
139,107,2019-01-02,5,Mochila Linho,2,311,622,Shopping União de Osasco
140,107,2019-01-02,5,Casaco Xadrez,2,259,518,Shopping União de Osasco
169,128,2019-01-02,5,Pulseira Liso,3,87,261,Shopping União de Osasco
217,155,2019-01-02,5,Short Listrado,1,102,102,Shopping União de Osasco
218,155,2019-01-02,5,Camisa Linho,1,141,141,Shopping União de Osasco
296,212,2019-01-03,5,Gorro Liso,4,92,368,Shopping União de Osasco
297,212,2019-01-03,5,Mochila Xadrez,3,283,849,Shopping União de Osasco
298,212,2019-01-03,5,Cueca Xadrez,3,60,180,Shopping União de Osasco
299,212,2019-01-03,5,Polo Liso,1,137,137,Shopping União de Osasco
320,227,2019-01-03,5,Bermuda Listrado,2,163,326,Shopping União de Osasco
356,255,2019-01-03,5,Camisa Gola V Listrado,3,116,348,Shopping União de Osasco
385,271,2019-01-03,5,Polo Liso,2,137,274,Shopping União de Osasco
386,271,2019-01-03,5,Short Listrado,3,102,306,Shopping União de Osasco
407,287,2019-01-03,5,Pulseira Estampa,2,87,174,Shopping União de Osasco
423,300,2019-01-03,5,Mochila Xadrez,2,283,566,Shopping União de Osasco
424,300,2019-01-03,5,Relógio Xadrez,1,214,214,Shopping União de Osasco
425,300,2019-01-03,5,Camiseta Xadrez,1,200,200,Shopping União de Osasco
465,328,2019-01-03,5,Gorro Xadrez,5,85,425,Shopping União de Osasco
466,328,2019-01-03,5,Short Xadrez,2,100,200,Shopping União de Osasco
467,328,2019-01-03,5,Relógio,2,200,400,Shopping União de Osasco
512,359,2019-01-03,5,Casaco Listrado,1,269,269,Shopping União de Osasco
513,359,2019-01-03,5,Meia Listrado,1,37,37,Shopping União de Osasco
514,359,2019-01-03,5,Cinto,3,200,600,Shopping União de Osasco
559,387,2019-01-03,5,Sapato Xadrez,3,368,1104,Shopping União de Osasco
583,399,2019-01-04,5,Sunga,2,100,200,Shopping União de Osasco
584,399,2019-01-04,5,Pulseira,1,70,70,Shopping União de Osasco
585,399,2019-01-04,5,Tênis Liso,3,266,798,Shopping União de Osasco
660,447,2019-01-04,5,Gorro,1,80,80,Shopping União de Osasco
661,447,2019-01-04,5,Chinelo,3,60,180,Shopping União de Osasco
733,496,2019-01-04,5,Bermuda Linho,4,195,780,Shopping União de Osasco
734,496,2019-01-04,5,Mochila Estampa,1,277,277,Shopping União de Osasco
735,496,2019-01-04,5,Meia Linho,5,78,390,Shopping União de Osasco
736,496,2019-01-04,5,Meia Linho,1,78,78,Shopping União de Osasco
793,530,2019-01-04,5,Pulseira Estampa,2,87,174,Shopping União de Osasco
794,530,2019-01-04,5,Sapato Liso,3,368,1104,Shopping União de Osasco
795,530,2019-01-04,5,Calça Estampa,2,177,354,Shopping União de Osasco
798,534,2019-01-04,5,Meia Xadrez,1,41,41,Shopping União de Osasco
874,584,2019-01-05,5,Camisa Liso,2,105,210,Shopping União de Osasco
875,584,2019-01-05,5,Casaco Liso,1,255,255,Shopping União de Osasco
963,645,2019-01-05,5,Tênis Xadrez,1,259,259,Shopping União de Osasco
964,645,2019-01-05,5,Calça Xadrez,5,185,925,Shopping União de Osasco
965,645,2019-01-05,5,Mochila Linho,4,311,1244,Shopping União de Osasco
966,645,2019-01-05,5,Tênis Linho,2,294,588,Shopping União de Osasco
974,651,2019-01-05,5,Short,1,90,90,Shopping União de Osasco
975,651,2019-01-05,5,Short Xadrez,2,100,200,Shopping União de Osasco
976,651,2019-01-05,5,Sunga,1,100,100,Shopping União de Osasco
977,651,2019-01-05,5,Polo,2,130,260,Shopping União de Osasco
1039,695,2019-01-05,5,Meia Liso,1,38,38,Shopping União de Osasco
1040,695,2019-01-05,5,Meia Estampa,2,50,100,Shopping União de Osasco
1041,695,2019-01-05,5,Sunga Liso,1,114,114,Shopping União de Osasco
1042,695,2019-01-05,5,Cinto Estampa,1,209,209,Shopping União de Osasco
1055,706,2019-01-05,5,Sunga Liso,2,114,228,Shopping União de Osasco
1056,706,2019-01-05,5,Meia Listrado,2,37,74,Shopping União de Osasco
1076,719,2019-01-05,5,Sunga Linho,2,149,298,Shopping União de Osasco
1077,719,2019-01-05,5,Mochila Liso,1,276,276,Shopping União de Osasco
1110,736,2019-01-05,5,Pulseira Xadrez,3,87,261,Shopping União de Osasco
1152,765,2019-01-06,5,Tênis Linho,1,294,294,Shopping União de Osasco
1153,765,2019-01-06,5,Gorro,1,80,80,Shopping União de Osasco
1154,765,2019-01-06,5,Calça Estampa,1,177,177,Shopping União de Osasco
1155,765,2019-01-06,5,Polo Xadrez,4,142,568,Shopping União de Osasco
1156,765,2019-01-06,5,Calça Listrado,3,181,543,Shopping União de Osasco
1157,765,2019-01-06,5,Sapato Linho,2,391,782,Shopping União de Osasco
1191,797,2019-01-06,5,Pulseira Listrado,1,79,79,Shopping União de Osasco
1192,797,2019-01-06,5,Casaco Liso,1,255,255,Shopping União de Osasco
1193,797,2019-01-06,5,Gorro Xadrez,2,85,170,Shopping União de Osasco
1209,809,2019-01-06,5,Terno Liso,2,720,1440,Shopping União de Osasco
1232,828,2019-01-06,5,Cinto Liso,3,209,627,Shopping União de Osasco
1233,828,2019-01-06,5,Camiseta Liso,4,187,748,Shopping União de Osasco
1532,1019,2019-01-07,5,Camisa Gola V Listrado,2,116,232,Shopping União de Osasco
1606,1065,2019-01-07,5,Terno Xadrez,1,709,709,Shopping União de Osasco
1653,1096,2019-01-07,5,Tênis Estampa,2,256,512,Shopping União de Osasco
1665,1104,2019-01-07,5,Meia Linho,1,78,78,Shopping União de Osasco
1666,1104,2019-01-07,5,Camisa Linho,1,141,141,Shopping União de Osasco
1700,1126,2019-01-08,5,Bermuda,1,150,150,Shopping União de Osasco
1720,1138,2019-01-08,5,Cueca Estampa,3,66,198,Shopping União de Osasco
1721,1139,2019-01-08,5,Polo Linho,1,176,176,Shopping União de Osasco
1760,1167,2019-01-08,5,Meia Liso,5,38,190,Shopping União de Osasco
1761,1167,2019-01-08,5,Polo Liso,4,137,548,Shopping União de Osasco
1780,1184,2019-01-08,5,Calça,4,170,680,Shopping União de Osasco
1781,1184,2019-01-08,5,Relógio,1,200,200,Shopping União de Osasco
1782,1184,2019-01-08,5,Sapato Estampa,2,358,716,Shopping União de Osasco
1808,1210,2019-01-08,5,Polo Estampa,3,138,414,Shopping União de Osasco
1811,1212,2019-01-08,5,Camiseta Listrado,2,197,394,Shopping União de Osasco
1812,1212,2019-01-08,5,Terno Xadrez,2,709,1418,Shopping União de Osasco
1865,1253,2019-01-08,5,Chinelo Xadrez,1,66,66,Shopping União de Osasco
1866,1253,2019-01-08,5,Camisa Gola V,4,100,400,Shopping União de Osasco
1867,1253,2019-01-08,5,Sapato,2,350,700,Shopping União de Osasco
1927,1297,2019-01-08,5,Short Estampa,2,96,192,Shopping União de Osasco
1928,1297,2019-01-08,5,Polo Estampa,2,138,276,Shopping União de Osasco
1960,1316,2019-01-08,5,Tênis,2,250,500,Shopping União de Osasco
