,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
40,32,2019-01-02,19,Polo Liso,1,137,137,Shopping Vila Velha
41,32,2019-01-02,19,Polo Listrado,2,149,298,Shopping Vila Velha
49,38,2019-01-02,19,Meia Xadrez,3,41,123,Shopping Vila Velha
50,38,2019-01-02,19,Relógio,1,200,200,Shopping Vila Velha
107,82,2019-01-02,19,Meia Listrado,1,37,37,Shopping Vila Velha
174,133,2019-01-02,19,Relógio Estampa,1,219,219,Shopping Vila Velha
175,133,2019-01-02,19,Polo,2,130,260,Shopping Vila Velha
176,133,2019-01-02,19,Polo Estampa,1,138,138,Shopping Vila Velha
177,133,2019-01-02,19,Pulseira,3,70,210,Shopping Vila Velha
178,133,2019-01-02,19,Cinto,5,200,1000,Shopping Vila Velha
266,193,2019-01-02,19,Pulseira Linho,1,114,114,Shopping Vila Velha
315,224,2019-01-03,19,Camiseta Listrado,3,197,591,Shopping Vila Velha
361,258,2019-01-03,19,Meia Linho,4,78,312,Shopping Vila Velha
362,258,2019-01-03,19,Sunga,2,100,200,Shopping Vila Velha
412,290,2019-01-03,19,Calça Liso,5,190,950,Shopping Vila Velha
429,304,2019-01-03,19,Sunga Listrado,2,114,228,Shopping Vila Velha
430,304,2019-01-03,19,Polo Linho,1,176,176,Shopping Vila Velha
452,319,2019-01-03,19,Camisa Gola V Xadrez,1,107,107,Shopping Vila Velha
453,319,2019-01-03,19,Polo Estampa,5,138,690,Shopping Vila Velha
484,339,2019-01-03,19,Camiseta Estampa,2,196,392,Shopping Vila Velha
498,350,2019-01-03,19,Relógio Listrado,1,218,218,Shopping Vila Velha
541,375,2019-01-03,19,Cinto Listrado,1,214,214,Shopping Vila Velha
542,375,2019-01-03,19,Mochila Xadrez,2,283,566,Shopping Vila Velha
658,445,2019-01-04,19,Camisa Gola V Xadrez,5,107,535,Shopping Vila Velha
668,451,2019-01-04,19,Short Estampa,2,96,192,Shopping Vila Velha
669,451,2019-01-04,19,Mochila Linho,1,311,311,Shopping Vila Velha
670,452,2019-01-04,19,Tênis Listrado,2,262,524,Shopping Vila Velha
671,452,2019-01-04,19,Short,1,90,90,Shopping Vila Velha
672,452,2019-01-04,19,Cueca Linho,1,93,93,Shopping Vila Velha
781,524,2019-01-04,19,Sunga,2,100,200,Shopping Vila Velha
782,524,2019-01-04,19,Cueca Listrado,1,67,67,Shopping Vila Velha
802,537,2019-01-04,19,Gorro Xadrez,2,85,170,Shopping Vila Velha
889,593,2019-01-05,19,Casaco Linho,3,299,897,Shopping Vila Velha
958,641,2019-01-05,19,Sunga Linho,2,149,298,Shopping Vila Velha
1002,667,2019-01-05,19,Tênis Xadrez,2,259,518,Shopping Vila Velha
1003,667,2019-01-05,19,Tênis Linho,3,294,882,Shopping Vila Velha
1004,667,2019-01-05,19,Bermuda Liso,2,157,314,Shopping Vila Velha
1005,667,2019-01-05,19,Meia Liso,3,38,114,Shopping Vila Velha
1174,780,2019-01-06,19,Tênis Linho,2,294,588,Shopping Vila Velha
1175,780,2019-01-06,19,Cinto Listrado,1,214,214,Shopping Vila Velha
1177,782,2019-01-06,19,Camisa Xadrez,1,105,105,Shopping Vila Velha
1199,802,2019-01-06,19,Sapato Linho,2,391,782,Shopping Vila Velha
1200,802,2019-01-06,19,Tênis,2,250,500,Shopping Vila Velha
1201,802,2019-01-06,19,Sunga Linho,2,149,298,Shopping Vila Velha
1202,802,2019-01-06,19,Sunga Listrado,3,114,342,Shopping Vila Velha
1251,838,2019-01-06,19,Camisa Liso,3,105,315,Shopping Vila Velha
1257,842,2019-01-06,19,Camisa Estampa,1,113,113,Shopping Vila Velha
1258,842,2019-01-06,19,Camiseta Xadrez,2,200,400,Shopping Vila Velha
1303,869,2019-01-06,19,Calça Listrado,2,181,362,Shopping Vila Velha
1335,892,2019-01-06,19,Sapato,2,350,700,Shopping Vila Velha
1487,989,2019-01-07,19,Sapato Liso,2,368,736,Shopping Vila Velha
1505,1003,2019-01-07,19,Casaco Linho,3,299,897,Shopping Vila Velha
1506,1003,2019-01-07,19,Cinto Estampa,1,209,209,Shopping Vila Velha
1594,1053,2019-01-07,19,Relógio Listrado,2,218,436,Shopping Vila Velha
1636,1084,2019-01-07,19,Relógio Listrado,2,218,436,Shopping Vila Velha
1647,1094,2019-01-07,19,Terno Liso,1,720,720,Shopping Vila Velha
1648,1094,2019-01-07,19,Casaco Estampa,2,256,512,Shopping Vila Velha
1649,1094,2019-01-07,19,Tênis Estampa,3,256,768,Shopping Vila Velha
